group,status,cells,fraction
overall,zero,197,0.45601851851851855
overall,suppressed_1_9,196,0.4537037037037037
overall,exact,39,0.09027777777777778
nonmetro_nonadjacent,zero,86,0.5972222222222222
nonmetro_nonadjacent,suppressed_1_9,58,0.4027777777777778
metro_large,suppressed_1_9,53,0.49074074074074076
metro_large,exact,38,0.35185185185185186
metro_large,zero,17,0.1574074074074074
nonmetro_adjacent,zero,75,0.625
nonmetro_adjacent,suppressed_1_9,45,0.375
metro_other,suppressed_1_9,40,0.6666666666666666
metro_other,zero,19,0.31666666666666665
metro_other,exact,1,0.016666666666666666
