chain_left,chain_right,starting_l1_distance_free,final_l1_distance_free,starting_cells_different,final_cells_different
1,2,16976,16432,3167,4361
1,3,17292,16560,3223,4417
1,4,17478,16598,3221,4360
2,3,17218,16708,3205,4417
2,4,17700,17070,3270,4450
3,4,17546,16822,3266,4439
