group,status,cells,fraction
overall,suppressed_1_9,238,0.5509259259259259
overall,zero,157,0.36342592592592593
overall,exact,37,0.08564814814814815
nonmetro_nonadjacent,zero,83,0.5763888888888888
nonmetro_nonadjacent,suppressed_1_9,61,0.4236111111111111
metro_large,suppressed_1_9,54,0.5
metro_large,exact,36,0.3333333333333333
metro_large,zero,18,0.16666666666666666
nonmetro_adjacent,suppressed_1_9,72,0.6
nonmetro_adjacent,zero,47,0.39166666666666666
nonmetro_adjacent,exact,1,0.008333333333333333
metro_other,suppressed_1_9,51,0.85
metro_other,zero,9,0.15
