parameter,label,r_hat,ess_bulk,ess_tail,mcse_mean,mcse_sd,mean,sd,chains,draws_per_chain,draws,ess
latent_rurality_total[metro_large],latent_rurality_total[metro_large],1.000325793183121,5103.2683819639315,5750.206922697676,0.03405116750652872,0.02304514649213452,1572.1419444444443,2.430444627785513,4,1800,7200,5103.2683819639315
latent_rurality_total[metro_other],latent_rurality_total[metro_other],1.001122426455293,2916.0119918337764,5288.720425772919,0.04821624492689407,0.03283142582187954,97.01513888888888,2.5982927350433207,4,1800,7200,2916.0119918337764
latent_rurality_total[nonmetro_adjacent],latent_rurality_total[nonmetro_adjacent],1.0018608364720283,2376.1023678612364,4124.049328357733,0.060859248600542454,0.042102304189142174,71.18125,2.9770728472579004,4,1800,7200,2376.1023678612364
latent_rurality_total[nonmetro_nonadjacent],latent_rurality_total[nonmetro_nonadjacent],1.0000402121881176,2905.444512595985,4836.8535747102205,0.054905030491368564,0.03778986146012886,100.66166666666666,2.9602126157388122,4,1800,7200,2905.444512595985
latent_svi_total[Q1_lowest],latent_svi_total[Q1_lowest],1.0021893439930396,3325.9717831501575,4674.224607901302,0.04009479191631813,0.028064946857885728,276.4475,2.3117904129013054,4,1800,7200,3325.9717831501575
latent_svi_total[Q2],latent_svi_total[Q2],1.0036373152342952,3225.233485168715,5704.475946982594,0.03901493507046061,0.027775995985523792,278.5152777777778,2.1908623150779922,4,1800,7200,3225.233485168715
latent_svi_total[Q3],latent_svi_total[Q3],1.0011323117159165,3506.3475600242678,5744.251078422318,0.05146515187549635,0.036459938331647956,392.8377777777778,3.0462591845360056,4,1800,7200,3506.3475600242678
latent_svi_total[Q4_highest],latent_svi_total[Q4_highest],1.000171998818108,4812.167366140645,6159.814584672906,0.028684221829365475,0.019767268522847298,893.1994444444445,1.9905177976150523,4,1800,7200,4812.167366140645
