replicate,scenario,parameter,truth_irr,posterior_median_irr,posterior_lower_95,posterior_upper_95,bias_irr,relative_bias_percent,squared_error_irr,interval_width,truth_covered_by_95_interval,r_hat,ess_bulk,ess_tail
10,lower_rate_2_4_kappa_10,primary_rurality_metro_other,1.12,1.3259783707300827,0.9727459679683539,1.8308225885705411,0.20597837073008263,18.39092595804308,0.04242708920861936,0.8580766206021873,True,1.0115857994076325,302.00475124136676,646.6740924575112
10,lower_rate_2_4_kappa_10,primary_rurality_nonmetro_adjacent,1.27,1.5605930281061577,1.023680246774521,2.2900789441531284,0.2905930281061577,22.88134079576045,0.08444430798390617,1.2663986973786074,True,1.030640711954588,187.3091240846836,361.22863958447186
10,lower_rate_2_4_kappa_10,primary_rurality_nonmetro_nonadjacent,1.23,1.4151692554381556,0.9544964772534039,2.042005768186457,0.18516925543815566,15.054411011232173,0.03428765315952094,1.0875092909330533,True,1.022198200691098,216.45855546319814,437.12111928283423
10,lower_rate_2_4_kappa_10,svi_quartile_Q2,1.1,1.6403199531386266,1.2125663931125559,2.258222973763599,0.5403199531386265,49.11999573987514,0.2919456517597275,1.0456565806510432,False,1.017242103837159,228.75919234319028,518.5881996108595
10,lower_rate_2_4_kappa_10,svi_quartile_Q3,1.25,1.3871720683996798,1.0395959448400576,1.8725023729203456,0.13717206839967977,10.973765471974373,0.018816176349046424,0.832906428080288,True,1.0157509411267724,278.1081442304976,726.9486230174768
10,lower_rate_2_4_kappa_10,svi_quartile_Q4_highest,1.43,1.934133968182921,1.3671367393509783,2.780809471821214,0.5041339681829211,35.254123649155325,0.2541510578758585,1.4136727324702358,True,1.012815162590465,232.3165508912345,502.406004512377
