type,block,min,median,max
count_move,blocked_refresh,0.096484375,0.09921875,0.1044270833333333
count_move,cycle_swap,0.0028250021145225,0.0030647711161549,0.0031492084877062
count_move,interval_path,0.1905583007729073,0.1913463836710648,0.1923744360156676
count_move,interval_transfer,0.2388110870776316,0.2402432398603703,0.2406069656664522
count_move,swap_2x2,0.0177365277105086,0.01801294625133035,0.0181350986128786
count_move,transfer,0.0972443750636305,0.09796083876760539,0.0988119678255309
parameter,beta,0.4473333333333333,0.4522083333333333,0.4585833333333333
parameter,log_kappa,0.3760833333333333,0.3772291666666666,0.3819166666666667
parameter,log_sigma_state,0.4373333333333333,0.4379375,0.4431666666666666
parameter,log_sigma_year,0.4363333333333333,0.437125,0.4381666666666666
parameter,state,0.5286666666666666,0.5491874999999999,0.5689166666666666
parameter,year,0.21575,0.36779166666666663,0.3835833333333333
