group,status,cells,fraction
overall,suppressed_1_9,265,0.6134259259259259
overall,zero,122,0.2824074074074074
overall,exact,45,0.10416666666666667
nonmetro_nonadjacent,suppressed_1_9,92,0.6388888888888888
nonmetro_nonadjacent,zero,50,0.3472222222222222
nonmetro_nonadjacent,exact,2,0.013888888888888888
metro_large,suppressed_1_9,57,0.5277777777777778
metro_large,exact,42,0.3888888888888889
metro_large,zero,9,0.08333333333333333
nonmetro_adjacent,suppressed_1_9,70,0.5833333333333334
nonmetro_adjacent,zero,50,0.4166666666666667
metro_other,suppressed_1_9,46,0.7666666666666667
metro_other,zero,13,0.21666666666666667
metro_other,exact,1,0.016666666666666666
