chain,block,accepted,proposed,acceptance_rate,type
1,transfer,16432,190021,0.0864746528015324,count_move
1,interval_transfer,122320,473663,0.2582426746442091,count_move
1,interval_path,72675,473888,0.1533590215409548,count_move
1,swap_2x2,15835,569500,0.0278050921861281,count_move
1,cycle_swap,832,188928,0.0044037940379403,count_move
1,blocked_refresh,676,7680,0.0880208333333333,count_move
1,beta,9662,24000,0.4025833333333333,parameter
1,state,15381,24000,0.640875,parameter
1,year,12928,24000,0.5386666666666666,parameter
1,log_sigma_state,10535,24000,0.4389583333333333,parameter
1,log_sigma_year,10466,24000,0.4360833333333333,parameter
1,log_kappa,10096,24000,0.4206666666666667,parameter
2,transfer,16381,189441,0.0864701938862231,count_move
2,interval_transfer,123573,473996,0.2607047316854994,count_move
2,interval_path,72507,474082,0.1529418961276741,count_move
2,swap_2x2,15505,569155,0.0272421396631848,count_move
2,cycle_swap,840,189326,0.0044367915658705,count_move
2,blocked_refresh,703,7680,0.0915364583333333,count_move
2,beta,10095,24000,0.420625,parameter
2,state,15558,24000,0.64825,parameter
2,year,0,24000,0.0,parameter
2,log_sigma_state,10545,24000,0.439375,parameter
2,log_sigma_year,9633,24000,0.401375,parameter
2,log_kappa,9598,24000,0.3999166666666666,parameter
3,transfer,16374,189086,0.0865955173836243,count_move
3,interval_transfer,122476,474422,0.2581583484745648,count_move
3,interval_path,72523,474438,0.1528608585315679,count_move
3,swap_2x2,15524,568893,0.0272880840509551,count_move
3,cycle_swap,722,189161,0.0038168544255951,count_move
3,blocked_refresh,651,7680,0.084765625,count_move
3,beta,9702,24000,0.40425,parameter
3,state,15374,24000,0.6405833333333333,parameter
3,year,13131,24000,0.547125,parameter
3,log_sigma_state,10405,24000,0.4335416666666666,parameter
3,log_sigma_year,10515,24000,0.438125,parameter
3,log_kappa,10274,24000,0.4280833333333333,parameter
4,transfer,16361,189230,0.0864609205728478,count_move
4,interval_transfer,122724,474724,0.258516527498083,count_move
4,interval_path,72841,474608,0.1534761318814685,count_move
4,swap_2x2,15646,567473,0.0275713558178098,count_move
4,cycle_swap,837,189965,0.0044060748032532,count_move
4,blocked_refresh,684,7680,0.0890625,count_move
4,beta,9806,24000,0.4085833333333333,parameter
4,state,14905,24000,0.6210416666666667,parameter
4,year,12837,24000,0.534875,parameter
4,log_sigma_state,10427,24000,0.4344583333333333,parameter
4,log_sigma_year,10406,24000,0.4335833333333333,parameter
4,log_kappa,10251,24000,0.427125,parameter
