type,block,min,median,max
count_move,blocked_refresh,0.084765625,0.08854166666666666,0.0915364583333333
count_move,cycle_swap,0.0038168544255951,0.00440493442059675,0.0044367915658705
count_move,interval_path,0.1528608585315679,0.15315045883431444,0.1534761318814685
count_move,interval_transfer,0.2581583484745648,0.25837960107114605,0.2607047316854994
count_move,swap_2x2,0.0272421396631848,0.02742971993438245,0.0278050921861281
count_move,transfer,0.0864609205728478,0.08647242334387775,0.0865955173836243
parameter,beta,0.4025833333333333,0.40641666666666665,0.420625
parameter,log_kappa,0.3999166666666666,0.42389583333333336,0.4280833333333333
parameter,log_sigma_state,0.4335416666666666,0.43670833333333325,0.439375
parameter,log_sigma_year,0.401375,0.4348333333333333,0.438125
parameter,state,0.6210416666666667,0.6407291666666666,0.64825
parameter,year,0.0,0.5367708333333333,0.547125
