type,block,min,median,max
count_move,blocked_refresh,0.036328125,0.041015625,0.04296875
count_move,cycle_swap,0.0163806809288838,0.016575926166512052,0.017717889672048
count_move,interval_path,0.2399777264450547,0.24064972203818447,0.2415224890616761
count_move,interval_transfer,0.2960347019225537,0.29727232424233174,0.2985077582053499
count_move,swap_2x2,0.0773613341704642,0.07751716101387204,0.0781464744752669
count_move,transfer,0.0414697123435708,0.04176489153043425,0.0420933958835772
parameter,beta,0.308875,0.3095416666666666,0.310875
parameter,log_kappa,0.3723333333333333,0.37512500000000004,0.3764583333333333
parameter,log_sigma_state,0.4322083333333333,0.43537499999999996,0.4388333333333333
parameter,log_sigma_year,0.4358333333333333,0.442,0.4446666666666666
parameter,state,0.5987083333333333,0.6011041666666667,0.6053333333333333
parameter,year,0.4555416666666667,0.4595833333333333,0.466
