parameter,label,r_hat,ess_bulk,ess_tail,mcse_mean,mcse_sd,mean,sd,chains,draws_per_chain,draws,ess
latent_rurality_total[metro_large],latent_rurality_total[metro_large],1.0000354788005437,5918.18226000288,6908.335397268973,0.03206028428001441,0.02168084031665722,3258.25125,2.4676962455665783,4,1800,7200,5918.18226000288
latent_rurality_total[metro_other],latent_rurality_total[metro_other],1.000194491360838,4119.155774756932,5597.398264031313,0.021413383508332783,0.013843353245031898,168.02,1.3710802645426372,4,1800,7200,4119.155774756932
latent_rurality_total[nonmetro_adjacent],latent_rurality_total[nonmetro_adjacent],1.000722550674028,4274.121317528524,5999.6570821292935,0.046977998501913344,0.03263627693270531,182.46597222222223,3.0737488675734514,4,1800,7200,4274.121317528524
latent_rurality_total[nonmetro_nonadjacent],latent_rurality_total[nonmetro_nonadjacent],1.0012781413318788,4562.189624680086,6160.262801470161,0.03786387469619975,0.026322100906251183,149.26277777777779,2.553356833974914,4,1800,7200,4562.189624680086
latent_svi_total[Q1_lowest],latent_svi_total[Q1_lowest],1.0010569809151908,3619.7763683158046,5108.900473802419,0.04390356628751078,0.03074363564912705,690.9184722222222,2.6418144642699875,4,1800,7200,3619.7763683158046
latent_svi_total[Q2],latent_svi_total[Q2],1.0013841090462388,2933.984360026939,4974.05370941751,0.046398995495088316,0.03277069608837031,567.4558333333333,2.5242800676039767,4,1800,7200,2933.984360026939
latent_svi_total[Q3],latent_svi_total[Q3],1.000327496591564,3888.701053288082,5117.803509159117,0.049886735647411674,0.035453194587647514,929.0761111111111,3.1087232836622976,4,1800,7200,3888.701053288082
latent_svi_total[Q4_highest],latent_svi_total[Q4_highest],1.0003119465609585,4683.734095754382,6748.289525694578,0.034336974827048505,0.022994220551926587,1570.5495833333334,2.3567825635708655,4,1800,7200,4683.734095754382
