parameter,label,r_hat,ess_bulk,ess_tail,mcse_mean,mcse_sd,mean,sd,chains,draws_per_chain,draws,ess
Intercept,Intercept,1.0124217507428634,216.8246837941207,458.5384734510717,0.007522019547627255,0.005475072479274753,-9.89003590453015,0.11070017189079048,4,1800,7200,216.8246837941207
kappa,kappa,1.0005936524627637,3813.116007387892,6229.679119304178,0.03298101057371475,0.028753577855853425,9.197440662959105,2.0371303145387016,4,1800,7200,3813.116007387892
primary_rurality_metro_other,metro_other vs metro_large,1.0142879528908173,301.3670680327973,1026.3870465532132,0.007311549490221286,0.005205883252621751,-0.07642612401136217,0.12688939972439453,4,1800,7200,301.3670680327973
primary_rurality_nonmetro_adjacent,nonmetro_adjacent vs metro_large,1.0214425365179343,174.768128763524,418.24001759569586,0.011838618771282998,0.008657843113728548,0.22588329042710914,0.15660758039763192,4,1800,7200,174.768128763524
primary_rurality_nonmetro_nonadjacent,nonmetro_nonadjacent vs metro_large,1.0307801374459638,150.81601209373522,350.2222817609241,0.01335037634217228,0.009436427204475451,0.2972145052747271,0.16404580114278383,4,1800,7200,150.81601209373522
sigma_state,sigma_state,1.0611471695284367,64.69666766851813,27.515244470381205,0.008867118518641583,0.014323808730720155,0.1582065344591036,0.1143971531947052,4,1800,7200,64.69666766851813
sigma_year,sigma_year,1.0012434284398328,2621.918018436986,2745.6530965890156,0.0019625119358294006,0.003368099277994712,0.21500440106615334,0.11537734990421074,4,1800,7200,2621.918018436986
state_effect[13],state_effect[13],1.0150348893673629,415.7945598517781,1557.0304846767249,0.0038924750587198574,0.0030096065016604386,0.06604456595501489,0.07743121483248482,4,1800,7200,415.7945598517781
state_effect[20],state_effect[20],1.0243955193839713,1060.970715040662,2015.9338216208262,0.002393265422032363,0.001908908968696361,0.009839860601066022,0.0776163814126269,4,1800,7200,1060.970715040662
state_effect[21],state_effect[21],1.0135374240896713,553.347137865711,1946.0394212097472,0.0032880591125875437,0.0023676016097264694,0.0689580093778428,0.075130492487014,4,1800,7200,553.347137865711
state_effect[29],state_effect[29],1.020347565867006,278.29829676673194,1925.1010132015342,0.004525234207403783,0.0031598188314496244,0.08429589947507847,0.07808305761162314,4,1800,7200,278.29829676673194
state_effect[48],state_effect[48],1.0430733078945704,82.77040523142426,1188.2721709525263,0.009733089391311562,0.006469303981329649,-0.12870095336247497,0.09483370336331977,4,1800,7200,82.77040523142426
state_effect[51],state_effect[51],1.0226180318704479,234.38264631692596,2501.102837605782,0.005380136313922827,0.003594509720008062,-0.1004373820465272,0.07958122823189921,4,1800,7200,234.38264631692596
svi_quartile_Q2,SVI Q2 vs Q1,1.003292261356692,436.6424336128524,1019.2709042183523,0.005808461330824137,0.004052254369687871,0.1644995200411165,0.12135134464768546,4,1800,7200,436.6424336128524
svi_quartile_Q3,SVI Q3 vs Q1,1.005287668074208,392.81279259480846,884.0632436852566,0.005471936539869398,0.003718586199254807,0.2068986516761523,0.10835347208912113,4,1800,7200,392.81279259480846
svi_quartile_Q4_highest,SVI Q4 vs Q1,1.031121386070774,163.34087739702733,470.8455999588869,0.011641931982833508,0.007795067389389817,0.36339314204128553,0.14895440701967486,4,1800,7200,163.34087739702733
year_effect[2019],year_effect[2019],1.002003343844373,2189.316597329113,3533.975442617546,0.0016859133644502458,0.0011787331823969963,-0.15775423020800763,0.07893263869820295,4,1800,7200,2189.316597329113
year_effect[2020],year_effect[2020],1.0006660235842224,1941.5678081672836,3473.4632259487553,0.001741058126471506,0.0012030967283516675,-0.13966434179635492,0.07678488990810048,4,1800,7200,1941.5678081672836
year_effect[2021],year_effect[2021],1.0026279711217407,2493.902908897213,3536.1053260903195,0.0014064475129704473,0.0010129147301862224,0.044794296430089545,0.07023964354593416,4,1800,7200,2493.902908897213
year_effect[2022],year_effect[2022],1.0002075436189277,2371.7956949594627,4081.886552890406,0.0014372559819868435,0.0010188256984266647,0.0953089291688738,0.06998280597359545,4,1800,7200,2371.7956949594627
year_effect[2023],year_effect[2023],1.0008296916165265,2702.040287856103,3808.900821789905,0.0013652291210738956,0.0009465302097582582,-0.04843295599742661,0.0711675196539942,4,1800,7200,2702.040287856103
year_effect[2024],year_effect[2024],1.0009330932241347,1898.693157727079,2786.00077488586,0.0017363509427416805,0.0012179489168436615,0.20574830240282582,0.07562513883813195,4,1800,7200,1898.693157727079
z_pct_age65,pct_age65 coefficient,1.0167970744921158,206.48186578063988,573.8340617820279,0.005255230897997068,0.003774791107106637,0.18528828156077692,0.07549769009487634,4,1800,7200,206.48186578063988
z_pct_male,pct_male coefficient,1.0111035738722902,538.2549024297751,1400.9574202863512,0.003126228450929788,0.0022133252234668543,-0.10703114255638174,0.07238411588925851,4,1800,7200,538.2549024297751
