type,block,min,median,max
count_move,blocked_refresh,0.0436197916666666,0.04375,0.0447916666666666
count_move,cycle_swap,0.0184172537697509,0.01858544463749355,0.0189116292582573
count_move,interval_path,0.2148131953171818,0.2152657111565323,0.2164176178204683
count_move,interval_transfer,0.2780299516528438,0.2780411485511472,0.2787708757990378
count_move,swap_2x2,0.0842238039226986,0.08451442469899856,0.0852830534911459
count_move,transfer,0.0433564400012575,0.0437538241067129,0.0439715420485482
parameter,beta,0.3295,0.3338333333333333,0.335625
parameter,log_kappa,0.3240833333333333,0.3265,0.32775
parameter,log_sigma_state,0.434125,0.44022916666666667,0.4418333333333333
parameter,log_sigma_year,0.4315,0.4346458333333333,0.4349583333333333
parameter,state,0.4965833333333333,0.5702083333333333,0.582375
parameter,year,0.5232083333333334,0.5259791666666667,0.5298333333333334
