replicate,scenario,parameter,truth_irr,posterior_median_irr,posterior_lower_95,posterior_upper_95,bias_irr,relative_bias_percent,squared_error_irr,interval_width,truth_covered_by_95_interval,r_hat,ess_bulk,ess_tail
3,higher_rate_5_0_kappa_10,primary_rurality_metro_other,1.12,0.9265469688857351,0.7186655370008238,1.1917844309189973,-0.19345303111426504,-17.27259206377366,0.037424075247296795,0.4731188939181735,True,1.0142879528908173,301.3670680327973,1026.3870465532132
3,higher_rate_5_0_kappa_10,primary_rurality_nonmetro_adjacent,1.27,1.2534847756105765,0.9207417843936625,1.7045814061486078,-0.016515224389423544,-1.3004113692459462,0.00027275263663301027,0.7838396217549453,True,1.0214425365179343,174.768128763524,418.24001759569586
3,higher_rate_5_0_kappa_10,primary_rurality_nonmetro_nonadjacent,1.23,1.3495252951557593,0.965309450880377,1.8397946995492576,0.11952529515575927,9.717503671199946,0.01428629618207137,0.8744852486688806,True,1.0307801374459638,150.81601209373522,350.2222817609241
3,higher_rate_5_0_kappa_10,svi_quartile_Q2,1.1,1.179046960665738,0.9333669007830583,1.4928856265279815,0.07904696066573802,7.186087333248903,0.006248421990490733,0.5595187257449232,True,1.003292261356692,436.6424336128524,1019.2709042183523
3,higher_rate_5_0_kappa_10,svi_quartile_Q3,1.25,1.2326351737597294,0.990970035600392,1.5037882519682022,-0.01736482624027058,-1.389186099221651,0.0003015371903547897,0.5128182163678102,True,1.005287668074208,392.81279259480846,884.0632436852566
3,higher_rate_5_0_kappa_10,svi_quartile_Q4_highest,1.43,1.4373861417539917,1.0781199772274603,1.9351273933135766,0.007386141753991771,0.5165134093700452,5.455509001006063e-05,0.8570074160861163,True,1.031121386070774,163.34087739702733,470.8455999588869
