group,status,cells,fraction
overall,zero,202,0.4675925925925926
overall,suppressed_1_9,198,0.4583333333333333
overall,exact,32,0.07407407407407407
nonmetro_nonadjacent,zero,84,0.5833333333333334
nonmetro_nonadjacent,suppressed_1_9,60,0.4166666666666667
metro_large,suppressed_1_9,55,0.5092592592592593
metro_large,exact,32,0.2962962962962963
metro_large,zero,21,0.19444444444444445
nonmetro_adjacent,zero,76,0.6333333333333333
nonmetro_adjacent,suppressed_1_9,44,0.36666666666666664
metro_other,suppressed_1_9,39,0.65
metro_other,zero,21,0.35
