profile,proposals_per_chain,elapsed_seconds,overall_changed_proposal_fraction,median_final_fraction_free_cells_changed,median_pairwise_final_to_start_cell_l1_ratio,median_pairwise_final_to_start_rurality_svi_ratio,selection_score,weight_state_year_transfer,weight_county_period_exploration,weight_interval_path_transfer,weight_swap_2x2,weight_cycle_swap,median_change_fraction_county_period_exploration,median_change_fraction_cycle_swap,median_change_fraction_state_year_transfer,median_change_fraction_swap_2x2
balanced_circuit_heatbath,20000,116.29037219900002,0.08345,0.15776173285198555,0.9619665788080318,0.5294035414725069,0.2529635452071842,0.05,0.3,0.25,0.3,0.1,0.16130111657631135,0.008635118284123666,0.04224665193286212,0.03606395342979389
direct_interval_heavy,20000,158.236846469,0.1105875,0.16389891696750902,0.9615719068714295,0.5772268747620861,0.23608089431593635,0.05,0.45,0.2,0.25,0.05,0.16996279817384907,0.007677009036496379,0.03768259821301943,0.03643151815930011
exact_margin_heavy,20000,77.74428305700002,0.0649375,0.15379061371841157,0.9637644948888122,0.5887426005307206,0.22738855086695278,0.05,0.2,0.2,0.5,0.05,0.1569098456801834,0.009755787625340788,0.03620272833413629,0.03714919676884844
interval_path_heavy,20000,120.398254063,0.087425,0.15832903558535327,0.9633937811763147,0.713097210715272,0.17932783287468618,0.05,0.25,0.4,0.25,0.05,0.1655171067071642,0.00807846030427184,0.040366763934703544,0.03581418852201927
