chain_left,chain_right,starting_l1_distance_free,final_l1_distance_free,starting_cells_different,final_cells_different
1,2,16976,16462,3167,4252
1,3,17292,16700,3223,4287
1,4,17478,16656,3221,4315
2,3,17218,16580,3205,4288
2,4,17700,17060,3270,4362
3,4,17546,16668,3266,4298
