parameter,label,r_hat,ess_bulk,ess_tail,mcse_mean,mcse_sd,mean,sd,chains,draws_per_chain,draws,ess
latent_county_period[01001],latent_county_period[01001],1.0005740771164109,12219.608910291578,21408.61991404014,0.014505341010193223,0.008366810099024057,5.623972222222222,1.5987605269173424,8,4500,36000,12219.608910291578
latent_county_period[01005],latent_county_period[01005],0.9999838354982661,27783.501722976995,30304.100598099605,0.00587302485403672,0.0030103741207209976,7.823194444444445,0.9769935055396386,8,4500,36000,27783.501722976995
latent_county_period[01007],latent_county_period[01007],1.000553589390351,19023.54441832024,22314.33636153377,0.006315944676664931,0.00636420616952416,2.6745555555555556,0.8639675811959073,8,4500,36000,19023.54441832024
latent_county_period[01023],latent_county_period[01023],1.0000607760514248,20978.48066928739,22544.085723491116,0.004669582196785669,0.005244965370968964,2.4221666666666666,0.6706207889428223,8,4500,36000,20978.48066928739
latent_county_period[16053],latent_county_period[16053],1.0002696027227589,22133.604748433663,29045.806750072778,0.008014726124416366,0.005691375580040672,5.43025,1.1954344493103124,8,4500,36000,22133.604748433663
latent_county_period[17049],latent_county_period[17049],1.0002815563666854,14497.251324340257,19621.272904490525,0.010134724010131903,0.005206956392328439,6.995027777777778,1.2187607019458426,8,4500,36000,14497.251324340257
latent_county_period[17057],latent_county_period[17057],1.0009242896898307,10609.84276337765,15718.547363135027,0.012862316643453,0.00814401636169219,5.759555555555556,1.3209472378908649,8,4500,36000,10609.84276337765
latent_county_period[17117],latent_county_period[17117],1.0008707327568587,7753.361569538062,11214.384019747333,0.012798724512089448,0.011549986411072103,3.0718055555555557,1.1109382523931133,8,4500,36000,7753.361569538062
latent_county_period[21127],latent_county_period[21127],1.0004492778613854,12017.652749003872,15137.708340159408,0.008978373921817422,0.00839598536688928,3.8570555555555557,0.9728730985384755,8,4500,36000,12017.652749003872
latent_county_period[22081],latent_county_period[22081],1.0000697378686882,26298.016355540483,26918.672492874834,0.0023616027026013816,0.0040506007689403035,1.13775,0.3812276618056943,8,4500,36000,26298.016355540483
latent_county_period[22095],latent_county_period[22095],1.0003998827936293,16548.5779058371,23768.33693926764,0.010626959005568157,0.0076791444873925896,4.737444444444445,1.3640237193440652,8,4500,36000,16548.5779058371
latent_county_period[26033],latent_county_period[26033],1.0004831633085869,15077.93557153561,20678.825706308147,0.009657598890704697,0.007847244980544997,4.26925,1.1788005829940316,8,4500,36000,15077.93557153561
latent_county_period[29135],latent_county_period[29135],1.0002770144898034,13149.49003588908,15083.697934453028,0.005007875359565775,0.006412851753183804,1.2914166666666667,0.5650483516587003,8,4500,36000,13149.49003588908
latent_county_period[31061],latent_county_period[31061],0.9999853804896545,27364.541751796824,27483.058480404656,0.0016261977182834401,0.003519196640317045,1.0699444444444444,0.2686360639220803,8,4500,36000,27364.541751796824
latent_county_period[36023],latent_county_period[36023],1.000153518851595,33005.62680752932,34144.63496710742,0.005948030579908031,0.0038153716312974203,7.896138888888889,1.0741381180360914,8,4500,36000,33005.62680752932
latent_county_period[39015],latent_county_period[39015],1.0000552201195552,17540.301886962134,25277.66182777806,0.010877805975364151,0.005745898258214532,6.5433055555555555,1.4377891388101596,8,4500,36000,17540.301886962134
latent_county_period[46041],latent_county_period[46041],1.0003177904029639,30350.516646822864,30566.324169900065,0.00245931240212053,0.0036673810994845945,1.1747777777777777,0.4285142888424675,8,4500,36000,30350.516646822864
