year,deaths,population,rate_per_100k,covid_lower,covid_upper,covid_pct_of_mcod
2019,7583.0,328239523.0,2.31020321096433,0.0,0.0,0.0
2020,9147.0,329484123.0,2.7761580487445827,548.0,556.0,6.034765496884225
2021,9733.0,331893745.0,2.932565059338494,549.0,557.0,5.6817014281311
2022,10575.0,333287557.0,3.1729357360917017,478.0,486.0,4.5579196217494085
2023,10546.0,334914895.0,3.148859652838074,198.0,206.0,1.9154181680257918
2024,10796.0,340110988.0,3.174257927826784,150.0,158.0,1.4264542423119675
