chain,block,accepted,proposed,acceptance_rate,type
8,transfer,254177,4500592,0.05647634800044083,count_move
8,interval_transfer,6716010,27008375,0.24866397922866518,count_move
8,interval_path,4639801,22496308,0.2062472206550515,count_move
8,swap_2x2,1837134,26993648,0.06805801127731977,count_move
8,cycle_swap,175743,9001077,0.01952466354859535,count_move
8,blocked_refresh,5264,96000,0.05483333333333333,count_move
8,beta,109114,300000,0.36371333333333333,parameter
8,state,80770,300000,0.2692333333333333,parameter
8,year,88280,300000,0.2942666666666667,parameter
8,log_sigma_state,129978,300000,0.43326,parameter
8,log_sigma_year,158434,300000,0.5281133333333333,parameter
8,log_kappa,131444,300000,0.4381466666666667,parameter
