county_fips,year,complete_count,public_status,public_lower,public_upper,posterior_mean,posterior_median,posterior_lower_95,posterior_upper_95,absolute_error_posterior_mean,squared_error_posterior_mean,truth_covered_by_95_interval
13231,2021,1,suppressed_1_9,1,9,1.8029166666666667,2.0,1.0,4.0,0.8029166666666667,0.6446751736111112,True
13231,2022,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
13231,2023,1,suppressed_1_9,1,9,1.6279166666666667,1.0,1.0,4.0,0.6279166666666667,0.3942793402777778,True
13231,2024,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
13265,2019,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
13265,2020,1,suppressed_1_9,1,9,1.06,1.0,1.0,2.0,0.06000000000000005,0.0036000000000000064,True
13265,2021,1,suppressed_1_9,1,9,1.1370833333333332,1.0,1.0,2.0,0.13708333333333322,0.01879184027777775,True
13265,2022,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
13265,2023,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
13265,2024,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
13275,2019,1,suppressed_1_9,1,9,4.051666666666667,4.0,1.0,7.0,3.0516666666666667,9.312669444444445,True
13275,2020,2,suppressed_1_9,1,9,2.14375,2.0,1.0,5.0,0.14374999999999982,0.020664062499999948,True
13275,2021,7,suppressed_1_9,1,9,4.31125,4.0,1.0,8.0,2.6887499999999998,7.229376562499999,True
13275,2022,3,suppressed_1_9,1,9,2.8545833333333333,3.0,1.0,6.0,0.14541666666666675,0.02114600694444447,True
13275,2023,4,suppressed_1_9,1,9,2.9225,3.0,1.0,6.0,1.0775000000000001,1.1610062500000002,True
13275,2024,2,suppressed_1_9,1,9,2.71625,3.0,1.0,6.0,0.71625,0.5130140625,True
13293,2019,5,suppressed_1_9,1,9,2.7820833333333335,3.0,1.0,5.0,2.2179166666666665,4.919154340277777,True
13293,2020,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
13293,2021,1,suppressed_1_9,1,9,2.910833333333333,3.0,1.0,6.0,1.9108333333333332,3.651284027777777,True
13293,2022,3,suppressed_1_9,1,9,2.024583333333333,2.0,1.0,4.0,0.9754166666666668,0.9514376736111114,True
13293,2023,1,suppressed_1_9,1,9,2.24,2.0,1.0,5.0,1.2400000000000002,1.5376000000000005,True
13293,2024,2,suppressed_1_9,1,9,2.0425,2.0,1.0,4.0,0.04249999999999998,0.0018062499999999984,True
20007,2019,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20007,2020,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20007,2021,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20007,2022,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20007,2023,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20007,2024,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20017,2019,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20017,2020,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20017,2021,1,suppressed_1_9,1,9,1.02375,1.0,1.0,1.0,0.023749999999999938,0.0005640624999999971,True
20017,2022,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20017,2023,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20017,2024,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20027,2019,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20027,2020,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20027,2021,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20027,2022,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20027,2023,2,suppressed_1_9,1,9,1.0820833333333333,1.0,1.0,2.0,0.9179166666666667,0.8425710069444445,True
20027,2024,1,suppressed_1_9,1,9,1.06375,1.0,1.0,2.0,0.06374999999999997,0.0040640624999999965,True
20071,2019,1,suppressed_1_9,1,9,1.0029166666666667,1.0,1.0,1.0,0.0029166666666666785,8.506944444444513e-06,True
20071,2020,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20071,2021,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20071,2022,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20071,2023,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20071,2024,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20079,2019,2,suppressed_1_9,1,9,1.4545833333333333,1.0,1.0,2.0,0.5454166666666667,0.2974793402777778,True
20079,2020,1,suppressed_1_9,1,9,1.0,1.0,1.0,1.0,0.0,0.0,True
