scenario,model_type,term,coefficient,irr,ci_low,ci_high,standard_error,n_rows,events,truth_irr,bias_irr,truth_covered_by_95_interval
oracle_complete_counts,NB2_GLM_known_dispersion_HC0,primary_rurality_metro_other,0.23381382316887858,1.2634092527792997,0.9817059853925348,1.6259480575236658,0.1287128788286198,432,3023.0,1.12,0.1434092527792996,True
oracle_complete_counts,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_adjacent,0.35015234221590363,1.41928374895593,1.0112905929942972,1.9918768888041642,0.17292092460585518,432,3023.0,1.27,0.14928374895593,True
oracle_complete_counts,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_nonadjacent,0.19057356264056768,1.2099433769935235,0.8596416329242091,1.7029921765777987,0.17439451281799243,432,3023.0,1.23,-0.02005662300647648,True
oracle_complete_counts,NB2_GLM_known_dispersion_HC0,svi_quartile_Q2,0.1595192194915538,1.1729468054453132,0.9261966061426541,1.485434301183848,0.12050406567094848,432,3023.0,1.1,0.07294680544531307,True
oracle_complete_counts,NB2_GLM_known_dispersion_HC0,svi_quartile_Q3,0.2518606946726923,1.286416820085999,1.007560245514628,1.6424509029283128,0.1246575941759751,432,3023.0,1.25,0.03641682008599889,True
oracle_complete_counts,NB2_GLM_known_dispersion_HC0,svi_quartile_Q4_highest,0.4114132571217616,1.5089488115683278,1.1044084531990004,2.061670670247212,0.15923642957513653,432,3023.0,1.43,0.07894881156832789,True
visible_exact_and_zero_only,NB2_GLM_known_dispersion_HC0,primary_rurality_metro_other,-2.1704730725102426,0.11412361539331481,0.016892545553370844,0.7710027804449107,0.9746988639637058,205,2500.0,1.12,-1.0058763846066854,False
visible_exact_and_zero_only,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_adjacent,-31.182112623893104,2.869330358617288e-14,2.470004372704438e-17,3.333215437942044e-11,3.6008234877763607,205,2500.0,1.27,-1.2699999999999714,False
visible_exact_and_zero_only,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_nonadjacent,-28.541685101069636,4.022570426420031e-13,1.308940852262613e-16,1.2361958760427334e-09,4.09717249304362,205,2500.0,1.23,-1.2299999999995976,False
visible_exact_and_zero_only,NB2_GLM_known_dispersion_HC0,svi_quartile_Q2,-2.316308981990526,0.09863698542375368,0.013382097325302605,0.7270351318615738,1.0191471958192073,205,2500.0,1.1,-1.0013630145762464,False
visible_exact_and_zero_only,NB2_GLM_known_dispersion_HC0,svi_quartile_Q3,1.5066647061345972,4.511657966992637,1.0618531241710305,19.169372060772492,0.738086272467632,205,2500.0,1.25,3.2616579669926367,True
