state,year,mcod_lower,mcod_upper,ucd_lower,ucd_upper
Michigan,2023,337,337,137.0,137.0
Michigan,2024,354,354,151.0,151.0
Minnesota,2019,171,171,55.0,55.0
Minnesota,2020,196,196,62.0,62.0
Minnesota,2021,206,206,65.0,65.0
Minnesota,2022,218,218,55.0,55.0
Minnesota,2023,227,227,63.0,63.0
Minnesota,2024,233,233,55.0,55.0
Mississippi,2019,102,102,35.0,35.0
Mississippi,2020,118,118,36.0,36.0
Mississippi,2021,134,134,47.0,47.0
Mississippi,2022,139,139,42.0,42.0
Mississippi,2023,132,132,41.0,41.0
Mississippi,2024,137,137,40.0,40.0
Missouri,2019,129,129,70.0,70.0
Missouri,2020,187,187,94.0,94.0
Missouri,2021,195,195,86.0,86.0
Missouri,2022,201,201,87.0,87.0
Missouri,2023,202,202,89.0,89.0
Missouri,2024,215,215,94.0,94.0
Montana,2019,24,24,11.0,11.0
Montana,2020,33,33,12.0,12.0
Montana,2021,32,32,1.0,9.0
Montana,2022,44,44,20.0,20.0
Montana,2023,39,39,16.0,16.0
Montana,2024,30,30,14.0,14.0
Nebraska,2019,47,47,17.0,17.0
Nebraska,2020,65,65,11.0,11.0
Nebraska,2021,59,59,13.0,13.0
Nebraska,2022,66,66,18.0,18.0
Nebraska,2023,83,83,25.0,25.0
Nebraska,2024,92,92,21.0,21.0
Nevada,2019,61,61,28.0,28.0
Nevada,2020,63,63,34.0,34.0
Nevada,2021,63,63,28.0,28.0
Nevada,2022,69,69,29.0,29.0
Nevada,2023,65,65,20.0,20.0
Nevada,2024,59,59,21.0,21.0
New Hampshire,2019,30,30,11.0,11.0
New Hampshire,2020,37,37,16.0,16.0
New Hampshire,2021,34,34,13.0,13.0
New Hampshire,2022,37,37,14.0,14.0
New Hampshire,2023,31,31,13.0,13.0
New Hampshire,2024,35,35,1.0,9.0
New Jersey,2019,151,151,64.0,64.0
New Jersey,2020,197,197,83.0,83.0
New Jersey,2021,174,174,81.0,81.0
New Jersey,2022,178,178,81.0,81.0
New Jersey,2023,185,185,85.0,85.0
New Jersey,2024,210,210,84.0,84.0
New Mexico,2019,86,86,35.0,35.0
New Mexico,2020,87,87,35.0,35.0
New Mexico,2021,86,86,32.0,32.0
New Mexico,2022,84,84,29.0,29.0
New Mexico,2023,89,89,38.0,38.0
New Mexico,2024,87,87,40.0,40.0
New York,2019,327,327,166.0,166.0
New York,2020,494,494,188.0,188.0
New York,2021,476,476,194.0,194.0
New York,2022,550,550,229.0,229.0
New York,2023,517,517,229.0,229.0
New York,2024,501,501,203.0,203.0
North Carolina,2019,228,228,101.0,101.0
North Carolina,2020,290,290,117.0,117.0
North Carolina,2021,319,319,136.0,136.0
North Carolina,2022,398,398,155.0,155.0
North Carolina,2023,378,378,148.0,148.0
North Carolina,2024,349,349,121.0,121.0
North Dakota,2019,16,16,1.0,9.0
North Dakota,2020,29,29,13.0,13.0
North Dakota,2021,19,19,11.0,11.0
North Dakota,2022,16,16,1.0,9.0
North Dakota,2023,18,18,10.0,10.0
North Dakota,2024,15,15,1.0,9.0
Ohio,2019,263,263,127.0,127.0
Ohio,2020,291,291,123.0,123.0
Ohio,2021,355,355,149.0,149.0
Ohio,2022,350,350,144.0,144.0
Ohio,2023,368,368,144.0,144.0
Ohio,2024,409,409,168.0,168.0
Oklahoma,2019,126,126,42.0,42.0
Oklahoma,2020,148,148,42.0,42.0
Oklahoma,2021,164,164,55.0,55.0
Oklahoma,2022,189,189,69.0,69.0
Oklahoma,2023,143,143,37.0,37.0
Oklahoma,2024,146,146,62.0,62.0
Oregon,2019,128,128,39.0,39.0
Oregon,2020,162,162,52.0,52.0
Oregon,2021,132,132,39.0,39.0
Oregon,2022,191,191,60.0,60.0
Oregon,2023,195,195,59.0,59.0
Oregon,2024,186,186,57.0,57.0
Pennsylvania,2019,295,295,121.0,121.0
Pennsylvania,2020,355,355,118.0,118.0
Pennsylvania,2021,402,402,138.0,138.0
Pennsylvania,2022,415,415,147.0,147.0
Pennsylvania,2023,444,444,179.0,179.0
Pennsylvania,2024,443,443,186.0,186.0
Rhode Island,2019,35,35,12.0,12.0
Rhode Island,2020,40,40,17.0,17.0
Rhode Island,2021,26,26,11.0,11.0
Rhode Island,2022,45,45,1.0,9.0
Rhode Island,2023,47,47,21.0,21.0
Rhode Island,2024,37,37,17.0,17.0
South Carolina,2019,153,153,59.0,59.0
South Carolina,2020,199,199,82.0,82.0
South Carolina,2021,258,258,97.0,97.0
South Carolina,2022,268,268,105.0,105.0
South Carolina,2023,274,274,107.0,107.0
South Carolina,2024,281,281,122.0,122.0
South Dakota,2019,35,35,17.0,17.0
South Dakota,2020,31,31,12.0,12.0
South Dakota,2021,38,38,13.0,13.0
South Dakota,2022,37,37,17.0,17.0
South Dakota,2023,34,34,17.0,17.0
South Dakota,2024,38,38,18.0,18.0
Tennessee,2019,221,221,85.0,85.0
Tennessee,2020,224,224,88.0,88.0
Tennessee,2021,228,228,91.0,91.0
Tennessee,2022,270,270,99.0,99.0
Tennessee,2023,287,287,107.0,107.0
Tennessee,2024,279,279,100.0,100.0
Texas,2019,706,706,259.0,259.0
Texas,2020,822,822,280.0,280.0
Texas,2021,851,851,301.0,301.0
Texas,2022,885,885,305.0,305.0
Texas,2023,878,878,286.0,286.0
Texas,2024,860,860,304.0,304.0
Utah,2019,73,73,35.0,35.0
Utah,2020,103,103,41.0,41.0
Utah,2021,84,84,37.0,37.0
Utah,2022,102,102,47.0,47.0
Utah,2023,87,87,32.0,32.0
Utah,2024,110,110,54.0,54.0
