term,parameter,posterior_median,posterior_mean,credible_interval_lower_95,credible_interval_upper_95,posterior_probability_IRR_gt_1,r_hat,ess,interpretation_sentence
metro_other vs metro_large,primary_rurality_metro_other,1.1422846391310566,1.1384590034053608,1.0911152904641745,1.184118342332784,1.0,1.1767653240630112,40.29339173749724,Posterior median IRR 1.14 (95% CrI 1.09-1.18); Pr(IRR>1)=1.00.
nonmetro_adjacent vs metro_large,primary_rurality_nonmetro_adjacent,1.269484136486283,1.2725934329374973,1.1935233564588044,1.3646484440451347,1.0,1.3124518530849325,13.639156494736348,Posterior median IRR 1.27 (95% CrI 1.19-1.36); Pr(IRR>1)=1.00.
nonmetro_nonadjacent vs metro_large,primary_rurality_nonmetro_nonadjacent,1.2600344681772335,1.2541669476694743,1.1231603814592779,1.373225402475652,1.0,1.9118266432465192,7.519281307701544,Posterior median IRR 1.26 (95% CrI 1.12-1.37); Pr(IRR>1)=1.00.
SVI Q2 vs Q1,svi_quartile_Q2,1.0766187499035977,1.0787594971924355,1.025938036595549,1.1393696967404736,0.9916666666666667,1.2001818373955648,20.061946056850143,Posterior median IRR 1.08 (95% CrI 1.03-1.14); Pr(IRR>1)=0.99.
SVI Q3 vs Q1,svi_quartile_Q3,1.2104606404977223,1.2114033271505686,1.1329588876063823,1.2914667084926759,1.0,1.418694645364613,17.842917937540435,Posterior median IRR 1.21 (95% CrI 1.13-1.29); Pr(IRR>1)=1.00.
SVI Q4 vs Q1,svi_quartile_Q4_highest,1.3938725833624792,1.3871148812504672,1.2429814481855923,1.4840695312633394,1.0,1.762073807367934,14.25680546433281,Posterior median IRR 1.39 (95% CrI 1.24-1.48); Pr(IRR>1)=1.00.
pct_age65 coefficient,z_pct_age65,0.0922395121054434,0.09146919250462414,0.06074147695343407,0.11904809072540724,,1.1774910881811091,14.873289076009426,Posterior median coefficient 0.092 (95% CrI 0.061-0.119).
pct_male coefficient,z_pct_male,-0.04959523016977595,-0.04944071224835079,-0.08329425240076212,-0.01217249513295628,,1.0260329408651947,69.65851477900334,Posterior median coefficient -0.050 (95% CrI -0.083--0.012).
