scenario,model_family,model_type,term,coef,se,irr,ci_low,ci_high,p_value,n_rows,events
observed_exact_positive_only,rurality_only,GLM_negative_binomial_alpha1_robust,primary_rurality_metro_other,-0.0602052286110265,0.0437566793140511,0.9415712763887384,0.8641850800768022,1.0258872653084077,0.168849668849238,1077,50833.0
observed_exact_positive_only,rurality_only,GLM_negative_binomial_alpha1_robust,primary_rurality_nonmetro_adjacent,-0.1307864738377569,0.0532593701599354,0.8774051033349641,0.7904326388169812,0.9739472758999894,0.0140629303208017,1077,50833.0
observed_exact_positive_only,rurality_only,GLM_negative_binomial_alpha1_robust,primary_rurality_nonmetro_nonadjacent,-0.0995303375829972,0.0831400424742122,0.9052624859761134,0.7691380391551265,1.065478661562296,0.2312516766928395,1077,50833.0
observed_exact_positive_only,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,primary_rurality_metro_other,-0.0152325993483673,0.0640369485252921,0.984882829854264,0.8687107886766982,1.1165904708278456,0.8119803448046383,1077,50833.0
observed_exact_positive_only,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,primary_rurality_nonmetro_adjacent,-0.0666524921615481,0.0721479030037332,0.9355202454741454,0.8121563711532133,1.0776226854556057,0.355574147905257,1077,50833.0
observed_exact_positive_only,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,primary_rurality_nonmetro_nonadjacent,-0.0260086888764749,0.1014490320816961,0.97432662376829,0.7986369701232133,1.188665695800753,0.7976636243738591,1077,50833.0
observed_exact_positive_only,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,svi_quartile_Q4_highest,-0.1485482744007028,0.0707058786543411,0.8619583956411406,0.7504128204885908,0.9900847314049124,0.0356468969689473,1077,50833.0
observed_exact_positive_only,acs_component_family,GLM_negative_binomial_alpha1_robust,primary_rurality_metro_other,-0.0513752029616951,0.0399241270082124,0.9499221900412574,0.8784234679369504,1.0272405053704077,0.1981567037903195,1077,50833.0
observed_exact_positive_only,acs_component_family,GLM_negative_binomial_alpha1_robust,primary_rurality_nonmetro_adjacent,-0.1136156507401614,0.0449563805359048,0.8926009604798958,0.8173154453746989,0.9748212629021932,0.0114962273277711,1077,50833.0
observed_exact_positive_only,acs_component_family,GLM_negative_binomial_alpha1_robust,primary_rurality_nonmetro_nonadjacent,-0.0219342393074751,0.0925732531009217,0.9783045669217536,0.8159698971995927,1.1729352135963058,0.8127039017260097,1077,50833.0
observed_exact_plus_zero,rurality_only,GLM_negative_binomial_alpha1_robust,primary_rurality_metro_other,-0.0708617096315598,0.0474511059884137,0.9315907132429968,0.8488558650276488,1.022389421756929,0.1353422828905317,1412,50833.0
