death_status,counties,person_years,exact_deaths,lower,upper,pct_nonmetro,mean_svi,mean_poverty,mean_uninsured,mean_age65
exact,1085,1749208176.0,51388.0,51388.0,51388.0,30.230414746543776,0.5516290622098422,13.322644990144308,8.528948865419483,18.17444263911992
suppressed_1_9,1722,226831847.0,0.0,1722.0,15498.0,77.06155632984901,0.49604043048283886,15.05414247297811,9.553389050957588,20.629703501706302
zero,335,10972358.0,0.0,0.0,0.0,88.65671641791046,0.3519671641791045,13.083686256652022,9.862340145142436,23.198302465475816
