parameter,scale,posterior_mean,posterior_median,credible_interval_lower_95,credible_interval_upper_95,posterior_probability_gt_1,r_hat,ess_bulk,ess_tail,mcse_mean,draws
Intercept,model_parameter,-10.642179515950534,-10.642119565288986,-10.68094970499419,-10.603892713085234,,1.0014894674233321,4204.002756901803,10014.059735325878,0.0003032404460583622,36000
kappa,model_parameter,10.728485503263858,10.705949477833585,9.644111855503422,11.931365371496826,,1.001674052861831,5911.4882032022515,19501.252089659447,0.007564594105055071,36000
primary_rurality_metro_other,mortality_rate_ratio,1.1406630618895068,1.1405209348379821,1.1050622320982229,1.1775313268469803,1.0,1.0003806569047404,6213.072925659539,14258.51037036473,0.00020442318622493276,36000
primary_rurality_nonmetro_adjacent,mortality_rate_ratio,1.272874110245468,1.2726487702339695,1.2212243902960769,1.3258607460875824,1.0,1.000910471158249,4923.782347730408,11027.530239416126,0.0003007461254594139,36000
primary_rurality_nonmetro_nonadjacent,mortality_rate_ratio,1.2351689579996967,1.2349854322162956,1.170513627986865,1.3020170394118624,1.0,1.0009353605050912,4024.3950396146324,8819.052613526208,0.00043024388521722105,36000
sigma_state,model_parameter,0.1899743660923759,0.18807955912207022,0.15173649895046495,0.23830719378451892,,1.001446387591007,6769.117745302988,19025.31764389202,0.00026534696199458134,36000
sigma_year,model_parameter,0.1533871623942049,0.13848157260181232,0.07978230486966617,0.3168111865354628,,1.0005098619427881,11489.704394479313,13312.816586219758,0.0006487337794497412,36000
state_effect[01],model_parameter,-0.20283693637793732,-0.20274876990325116,-0.2827157996340874,-0.12331710373591635,,1.0006210497764596,10132.914879340336,18900.129042576755,0.00040314403380634154,36000
state_effect[02],model_parameter,0.059645025599386496,0.05921261214328352,-0.11697466546556629,0.2355411148649106,,1.0010198186088237,2447.10724877663,5120.655777324936,0.0018050437175367326,36000
state_effect[04],model_parameter,-0.11780886365623486,-0.11778932476780386,-0.22428243483303678,-0.013239679654143908,,1.0008062426282227,6311.367536420882,12587.109687866528,0.0006723400923219276,36000
state_effect[05],model_parameter,0.10095985125379772,0.10118158123479304,0.01686563157912174,0.18448368617150251,,1.0003182514966265,9577.789243289806,18328.253819601523,0.00043706703604010576,36000
state_effect[06],model_parameter,-0.06610953198877537,-0.066303640403619,-0.11985651945398672,-0.012087749218481636,,1.0002402315418584,12142.991164081193,23820.208484925563,0.0002506818263757061,36000
state_effect[08],model_parameter,0.3155379426105215,0.31559928616663147,0.2386101964676617,0.3923397170764241,,1.0007295628285091,11245.57827371283,19563.45080172937,0.0003721294227454343,36000
state_effect[09],model_parameter,0.17559693236612592,0.17516727400983695,0.04817295225362362,0.30288362375994093,,1.0020007330837934,4182.374136167164,8713.094842141618,0.0010076852613185561,36000
state_effect[10],model_parameter,-0.09067980004126858,-0.09138854151231258,-0.2636200250732074,0.08537564586670118,,1.0025531209803271,2528.1312733550567,4762.460186049922,0.0017599455293144737,36000
