type,block,min_acceptance_rate,median_acceptance_rate,max_acceptance_rate
count_move,blocked_refresh,0.0448020833333333,0.04618229166666665,0.0471666666666666
count_move,interval_transfer,0.2047898868072738,0.20509040917855598,0.2051991408194786
count_move,swap_2x2,0.0601925270765084,0.0603902302941345,0.0604588937165123
count_move,transfer,0.0458801520637791,0.045904914716922304,0.0459375533464004
parameter,beta,0.08157,0.08307666666666665,0.08456
parameter,log_kappa,0.64889,0.6497116666666667,0.6514933333333334
parameter,log_sigma_state,0.8147933333333334,0.8153600000000001,0.8160233333333333
parameter,log_sigma_year,0.9397133333333332,0.9412149999999999,0.9429666666666666
parameter,state,0.2688966666666667,0.270285,0.27158
parameter,year,0.35586,0.35636999999999996,0.3571833333333333
