rurality,estimate_type,posterior_median_rate_per_100k,posterior_mean_rate_per_100k,credible_interval_lower_95,credible_interval_upper_95
metro_large,conditional_model_based,2.6510465957714926,2.651286773880855,2.5925534409332553,2.7114797822182313
metro_large,standardized_national_covariate_distribution,2.764159723003655,2.7644096866839676,2.7020268139593853,2.8283619068889347
metro_other,conditional_model_based,3.261014086524942,3.261107332868444,3.1981694982674878,3.3245943413771504
metro_other,standardized_national_covariate_distribution,3.1525446514973954,3.1528110408640004,3.087808917165264,3.2190689070900773
nonmetro_adjacent,conditional_model_based,3.807903540870576,3.8080653465403027,3.7103581670071217,3.906807419167942
nonmetro_adjacent,standardized_national_covariate_distribution,3.517215151982761,3.518180000536057,3.4085222986863104,3.631000878283618
nonmetro_nonadjacent,conditional_model_based,3.7935033832280416,3.793838551754153,3.651326511249423,3.937736665386873
nonmetro_nonadjacent,standardized_national_covariate_distribution,3.4131973234426183,3.4139381432255487,3.2600191831905994,3.572812864766578
