county_fips,year,complete_count,public_status,public_lower,public_upper,posterior_mean,posterior_lower_95,posterior_upper_95,absolute_error,squared_error,covered_95
13265,2019,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
13265,2020,1,suppressed_1_9,1,9,1.1227777777777779,1.0,2.0,0.12277777777777787,0.015074382716049406,True
13265,2021,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
13265,2022,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
13265,2023,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
13265,2024,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
13275,2019,9,suppressed_1_9,1,9,7.2098611111111115,4.0,9.0,1.7901388888888885,3.2045972415123445,True
13275,2020,6,suppressed_1_9,1,9,5.530138888888889,2.0,9.0,0.4698611111111113,0.22076946373456807,True
13275,2021,3,suppressed_1_9,1,9,4.893472222222222,1.0,9.0,1.893472222222222,3.5852370563271596,True
13275,2022,7,suppressed_1_9,1,9,7.130138888888889,3.0,9.0,0.13013888888888925,0.01693613040123466,True
13275,2023,4,suppressed_1_9,1,9,6.0401388888888885,2.0,9.0,2.0401388888888885,4.162166685956788,True
13275,2024,9,suppressed_1_9,1,9,7.19625,4.0,9.0,1.80375,3.2535140625,True
13293,2019,7,suppressed_1_9,1,9,3.8280555555555558,1.0,7.0,3.1719444444444442,10.061231558641975,True
13293,2020,1,suppressed_1_9,1,9,2.743333333333333,1.0,6.0,1.7433333333333332,3.0392111111111104,True
13293,2021,4,suppressed_1_9,1,9,2.40875,1.0,5.0,1.59125,2.5320765625000003,True
13293,2022,2,suppressed_1_9,1,9,4.11625,1.0,8.0,2.11625,4.4785140624999995,True
13293,2023,4,suppressed_1_9,1,9,2.966527777777778,1.0,6.0,1.0334722222222221,1.0680648341049381,True
13293,2024,2,suppressed_1_9,1,9,3.9370833333333333,1.0,7.0,1.9370833333333333,3.7522918402777776,True
20007,2019,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
20007,2020,1,suppressed_1_9,1,9,1.041388888888889,1.0,2.0,0.04138888888888892,0.0017130401234567926,True
20007,2021,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
