type,block,min,median,max
count_move,blocked_refresh,0.0350260416666666,0.0358723958333333,0.0397135416666666
count_move,cycle_swap,0.0123186619867932,0.0124460992879479,0.0125444210562198
count_move,interval_path,0.2708808480214926,0.2716204215107122,0.2738836177805129
count_move,interval_transfer,0.2932156680284074,0.29398027108415603,0.2942768847063313
count_move,swap_2x2,0.068486379768922,0.0685972494398717,0.0690822584715366
count_move,transfer,0.0368188512518409,0.036895069949241,0.0371508617030308
parameter,beta,0.3340833333333333,0.3356458333333333,0.34075
parameter,log_kappa,0.3570416666666666,0.3582083333333333,0.35975
parameter,log_sigma_state,0.4254166666666666,0.43043750000000003,0.4312916666666667
parameter,log_sigma_year,0.4366666666666666,0.44462499999999994,0.4458333333333333
parameter,state,0.646,0.6500208333333333,0.6535416666666667
parameter,year,0.332375,0.3353125,0.3740833333333333
