parameter,label,r_hat,ess_bulk,ess_tail,mcse_mean,mcse_sd,mean,sd,chains,draws_per_chain,draws,ess
latent_rurality_total[metro_large],latent_rurality_total[metro_large],1.0011871044716039,3077.934332136989,6271.816844538399,0.04683445779910633,0.03107701752878767,2276.2881944444443,2.5923422690209015,4,1800,7200,3077.934332136989
latent_rurality_total[metro_other],latent_rurality_total[metro_other],1.0013790092475596,1137.3023220376078,4705.400997460198,0.05436767509597913,0.03536631432098556,139.99263888888888,1.829691748211392,4,1800,7200,1137.3023220376078
latent_rurality_total[nonmetro_adjacent],latent_rurality_total[nonmetro_adjacent],1.0023236724040065,2433.7924388250053,4706.8913203945585,0.05699390796651208,0.040249550192529356,77.54986111111111,2.809754699222497,4,1800,7200,2433.7924388250053
latent_rurality_total[nonmetro_nonadjacent],latent_rurality_total[nonmetro_nonadjacent],1.0024567267577202,2154.0324445383158,4828.7587376325055,0.06752765042800707,0.047128548005197515,122.16930555555555,3.128284999955574,4,1800,7200,2154.0324445383158
latent_svi_total[Q1_lowest],latent_svi_total[Q1_lowest],1.0041156962453595,1214.1479803147731,2754.781852157819,0.08712899526119523,0.059130935070580454,551.37375,3.0236195432595165,4,1800,7200,1214.1479803147731
latent_svi_total[Q2],latent_svi_total[Q2],1.0038200130070711,2614.7380568790268,5523.043482790959,0.041079876637232705,0.02863060477763564,313.62680555555556,2.103589908356411,4,1800,7200,2614.7380568790268
latent_svi_total[Q3],latent_svi_total[Q3],1.0009368191252224,2357.3250858960487,5627.46983512488,0.06359211882048554,0.04481834505926658,619.3026388888889,3.0928931944734104,4,1800,7200,2357.3250858960487
latent_svi_total[Q4_highest],latent_svi_total[Q4_highest],1.0019245017930751,2746.462676192812,4929.798221804389,0.04425123632163951,0.03009886578028562,1131.6968055555556,2.317101142875994,4,1800,7200,2746.462676192812
