type,block,min,median,max
count_move,blocked_refresh,0.0444010416666666,0.0470052083333333,0.049609375
count_move,cycle_swap,0.0034892950558553,0.0037580911132731503,0.0037965478151134
count_move,interval_path,0.1968209393784849,0.19722516078213048,0.1972873655660982
count_move,interval_transfer,0.262263215906081,0.26291875840293816,0.2639061560485226
count_move,swap_2x2,0.027251393840907,0.0273149930894179,0.0276559228610901
count_move,transfer,0.0471814084177252,0.04764461322154785,0.048072341405175
parameter,beta,0.449875,0.45441666666666664,0.4578333333333333
parameter,log_kappa,0.325125,0.33012499999999995,0.33575
parameter,log_sigma_state,0.4262083333333333,0.4303333333333333,0.4363333333333333
parameter,log_sigma_year,0.39825,0.43952083333333336,0.4442916666666666
parameter,state,0.7052083333333333,0.7108125000000001,0.7151666666666666
parameter,year,0.0,0.48106249999999995,0.5073333333333333
