chain_left,chain_right,starting_l1_distance_free,final_l1_distance_free,starting_cells_different,final_cells_different
1,2,16976,16454,3167,4122
1,3,17292,16786,3223,4210
1,4,17478,16934,3221,4171
2,3,17218,16708,3205,4220
2,4,17700,17306,3270,4239
3,4,17546,16914,3266,4222
