parameter,label,r_hat,ess_bulk,ess_tail,mcse_mean,mcse_sd,mean,sd,chains,draws_per_chain,draws,ess
Intercept,Intercept,1.0284399218060252,183.6967797835726,340.769031933754,0.009135036666751618,0.006874169012697697,-10.428635826873704,0.12330308354470652,4,1800,7200,183.6967797835726
kappa,kappa,1.0001202836738585,4116.532342253113,5992.33689786887,0.0480672170438244,0.0460137813634197,10.90688982923326,3.1316438294193594,4,1800,7200,4116.532342253113
primary_rurality_metro_other,metro_other vs metro_large,1.0104970517979652,271.8363009530356,729.166774982567,0.007701468418981999,0.005280585632391065,0.5011100328658077,0.12707338124117346,4,1800,7200,271.8363009530356
primary_rurality_nonmetro_adjacent,nonmetro_adjacent vs metro_large,1.0250779819759992,171.3591840623642,382.4543945845489,0.012990308418916699,0.009182257451910758,0.8247389797597336,0.17035303863697512,4,1800,7200,171.3591840623642
primary_rurality_nonmetro_nonadjacent,nonmetro_nonadjacent vs metro_large,1.0126484674282292,162.9926566843121,299.6398627001937,0.015572166023031119,0.011361958615502587,0.3028532755235594,0.1984225125067013,4,1800,7200,162.9926566843121
sigma_state,sigma_state,1.0032668297545089,441.44461656162923,285.99379259550363,0.003190818298922622,0.004474372622597791,0.12333978976618011,0.08969560313424217,4,1800,7200,441.44461656162923
sigma_year,sigma_year,1.0022240233917812,285.15322855800116,175.95698502728197,0.0027661100202939688,0.005469587456244536,0.07939499706608136,0.06913776944270424,4,1800,7200,285.15322855800116
state_effect[13],state_effect[13],1.008425602963367,674.0369779785203,1229.9442785545994,0.003123952064740167,0.0025166470901297486,0.06439430607546671,0.07904219398255215,4,1800,7200,674.0369779785203
state_effect[20],state_effect[20],1.004846771355284,935.220022821472,1421.3342893705217,0.0025108152748543333,0.0023701042534061702,-0.026126718870046847,0.07460822286121851,4,1800,7200,935.220022821472
state_effect[21],state_effect[21],1.001852572183224,1216.6614985916535,2176.293150651658,0.0019765909592951614,0.0016770806387846674,-0.02436528536953443,0.06739084330888116,4,1800,7200,1216.6614985916535
state_effect[29],state_effect[29],1.0021753217463334,969.9943763798076,1933.7777894297046,0.0025047884024381227,0.001895128452988553,-0.07555694361195062,0.07719302682787019,4,1800,7200,969.9943763798076
state_effect[48],state_effect[48],1.0020701163048646,880.1954152618287,1703.394987053771,0.002476369392893259,0.0023624655124054247,-0.02395512763076617,0.07183185045219559,4,1800,7200,880.1954152618287
state_effect[51],state_effect[51],1.0018779127145323,601.8183654896093,1667.8779879970325,0.0030774676594914775,0.0022227765352300023,0.08560976940683133,0.07463919367745837,4,1800,7200,601.8183654896093
svi_quartile_Q2,SVI Q2 vs Q1,1.0136555907298834,394.1268121139552,731.295528133614,0.0066203770674712,0.005339781721135551,0.07440535356883055,0.130203087281963,4,1800,7200,394.1268121139552
svi_quartile_Q3,SVI Q3 vs Q1,1.0046182817083102,330.7271843350792,633.3776687049686,0.006376921780851398,0.0046976669699121875,0.04126419924742144,0.11599685818564308,4,1800,7200,330.7271843350792
svi_quartile_Q4_highest,SVI Q4 vs Q1,1.0106643183336579,223.7744597272865,438.09206853328425,0.010024901838717194,0.007497309977657723,0.08130390165629901,0.14971773451588066,4,1800,7200,223.7744597272865
year_effect[2019],year_effect[2019],1.0024422298267768,1849.9478763615336,2664.797566555734,0.0013826241803666314,0.0013772950927686638,-0.03271467082732241,0.057704848626355984,4,1800,7200,1849.9478763615336
year_effect[2020],year_effect[2020],1.0007671171803267,2437.5623487652424,3132.87971951791,0.0011203776806139923,0.0010790583452472292,-0.021697551708013872,0.0528032247335717,4,1800,7200,2437.5623487652424
year_effect[2021],year_effect[2021],1.000767989534648,1590.8294847404218,2765.5693725926567,0.0013703050101935485,0.00130800701873077,-0.025202313709485058,0.05363352998676119,4,1800,7200,1590.8294847404218
year_effect[2022],year_effect[2022],1.0029882655582678,2834.588138122352,3357.2061090269935,0.0009715012171102306,0.0008900765970783549,0.018798236557076173,0.05057682534549115,4,1800,7200,2834.588138122352
year_effect[2023],year_effect[2023],1.00049857639404,3073.2480536140115,3138.4500738172983,0.000938746384164137,0.0009050828870873687,0.008918103757314017,0.05021026480647635,4,1800,7200,3073.2480536140115
year_effect[2024],year_effect[2024],1.0007222050889002,782.1831675316968,2521.329627214536,0.0021958605933891547,0.0017963397212592302,0.051898195930431164,0.06211363092824801,4,1800,7200,782.1831675316968
z_pct_age65,pct_age65 coefficient,1.0257345587067532,184.30847760753693,381.4030714730802,0.006718776214075365,0.004885556895615833,-0.061500257912341795,0.09114809275254021,4,1800,7200,184.30847760753693
z_pct_male,pct_male coefficient,1.0035973643007698,479.9396965621346,969.7352711017169,0.0036065689273261496,0.0025902178328382737,-0.10322080321978548,0.07871854833174491,4,1800,7200,479.9396965621346
