type,block,min,median,max
count_move,blocked_refresh,0.0567708333333333,0.0579427083333333,0.058984375
count_move,cycle_swap,0.0068760682070816,0.0070465792864578,0.0072086785113771
count_move,interval_path,0.1702238234695096,0.17054483421851954,0.1717822746683938
count_move,interval_transfer,0.2211675991754659,0.22194945434508107,0.2226274752193531
count_move,swap_2x2,0.0482274463785886,0.048343177840897,0.0485253849917123
count_move,transfer,0.0598861112943297,0.0600351219356449,0.0601502110148894
parameter,beta,0.3545416666666666,0.3588125,0.3641666666666667
parameter,log_kappa,0.3902083333333333,0.39656249999999993,0.40425
parameter,log_sigma_state,0.4379583333333333,0.4404166666666667,0.444
parameter,log_sigma_year,0.4362916666666667,0.44166666666666665,0.44625
parameter,state,0.5084583333333333,0.5178541666666667,0.5495833333333333
parameter,year,0.2987083333333333,0.3329791666666666,0.3465
