parameter,label,r_hat,ess_bulk,ess_tail,mcse_mean,mcse_sd,mean,sd,chains,draws_per_chain,draws,ess
latent_rurality_total[metro_large],latent_rurality_total[metro_large],1.0006378064613293,4148.410098970421,6342.936273515917,0.03486338240897875,0.023569472719260083,2246.136111111111,2.240958159551152,4,1800,7200,4148.410098970421
latent_rurality_total[metro_other],latent_rurality_total[metro_other],1.0008842286618291,3664.1821427596797,6131.437347773563,0.029695457174788706,0.01994516004781438,145.8776388888889,1.7930581774171743,4,1800,7200,3664.1821427596797
latent_rurality_total[nonmetro_adjacent],latent_rurality_total[nonmetro_adjacent],1.001576771192794,3225.218442329599,6037.350698731677,0.05109560266464774,0.03514734281729725,132.03277777777777,2.896757182288728,4,1800,7200,3225.218442329599
latent_rurality_total[nonmetro_nonadjacent],latent_rurality_total[nonmetro_nonadjacent],0.9997068326142005,4267.894286657462,5950.172549332457,0.041125558624599906,0.029419915422799935,97.95347222222222,2.691773961780641,4,1800,7200,4267.894286657462
latent_svi_total[Q1_lowest],latent_svi_total[Q1_lowest],1.0026270598814802,3063.0353655651506,5282.386674425548,0.04114160440565543,0.028321308065380833,531.1029166666667,2.2765691022554257,4,1800,7200,3063.0353655651506
latent_svi_total[Q2],latent_svi_total[Q2],1.0012468694862195,2882.717683655393,5613.934252514707,0.03764482057295522,0.026738379959023593,313.36611111111114,2.021722947649829,4,1800,7200,2882.717683655393
latent_svi_total[Q3],latent_svi_total[Q3],1.001000920146284,3740.2312252128163,6061.141523112526,0.04353255514941246,0.02993180157315432,563.6294444444444,2.662873569865281,4,1800,7200,3740.2312252128163
latent_svi_total[Q4_highest],latent_svi_total[Q4_highest],1.0008017585229738,5347.898583478261,6043.478082272453,0.027282476436423897,0.01905035518534674,1213.9015277777778,1.9942681858837366,4,1800,7200,5347.898583478261
