parameter,scale,v111_mean,v111_median,v111_lower_95,v111_upper_95,corrected_prior_reweighted_mean,corrected_prior_reweighted_median,corrected_prior_reweighted_lower_95,corrected_prior_reweighted_upper_95,median_absolute_shift,median_relative_shift_percent
primary_rurality_metro_other,mortality_rate_ratio,1.1406630618895068,1.1405209348379821,1.1050622320982229,1.1775313268469803,1.1405318889700173,1.1403837774617467,1.1049763285401313,1.1772823268738022,-0.00013715737623543056,-0.01202585345396745
primary_rurality_nonmetro_adjacent,mortality_rate_ratio,1.272874110245468,1.2726487702339695,1.2212243902960769,1.3258607460875824,1.2725504220598065,1.2724025146771794,1.2205665631999678,1.3254904484398193,-0.00024625555679014255,-0.01934984439931897
primary_rurality_nonmetro_nonadjacent,mortality_rate_ratio,1.2351689579996967,1.2349854322162956,1.170513627986865,1.3020170394118624,1.2347077439025274,1.2345851671023114,1.1699021376344882,1.3015787739716422,-0.0004002651139842772,-0.032410512994140994
sigma_state,model_parameter,0.1899743660923759,0.18807955912207022,0.15173649895046495,0.23830719378451892,0.1925934188931432,0.19062044698908331,0.15395484489791525,0.24213664478261546,0.002540887867013092,1.3509643891519207
sigma_year,model_parameter,0.1533871623942049,0.13848157260181232,0.07978230486966617,0.3168111865354628,0.17973353519376983,0.15737891655100542,0.085955113246257,0.40397640008736607,0.018897343949193096,13.646107271997998
svi_quartile_Q4_highest,mortality_rate_ratio,1.4333882642072693,1.4329866240234084,1.3698697815979426,1.499754788149133,1.4338142221894117,1.4333195189134833,1.3699576257350439,1.500249769661201,0.00033289489007493067,0.023230844202881684
