parameter,scale,v111_mean,v111_median,v111_lower_95,v111_upper_95,corrected_prior_reweighted_mean,corrected_prior_reweighted_median,corrected_prior_reweighted_lower_95,corrected_prior_reweighted_upper_95,median_absolute_shift,median_relative_shift_percent
Intercept,model_parameter,-10.642179515950534,-10.642119565288986,-10.68094970499419,-10.603892713085234,-10.64215518850515,-10.642102476380852,-10.681018870758967,-10.603587395575165,1.708890813389985e-05,-0.00016057805053426577
kappa,model_parameter,10.728485503263858,10.705949477833585,9.644111855503422,11.931365371496826,10.731219542729892,10.709143438037367,9.646817971243857,11.937538518193026,0.0031939602037827086,0.029833507157817074
primary_rurality_metro_other,mortality_rate_ratio,1.1406630618895068,1.1405209348379821,1.1050622320982229,1.1775313268469803,1.1405318889700173,1.1403837774617467,1.1049763285401313,1.1772823268738022,-0.00013715737623543056,-0.01202585345396745
primary_rurality_nonmetro_adjacent,mortality_rate_ratio,1.272874110245468,1.2726487702339695,1.2212243902960769,1.3258607460875824,1.2725504220598065,1.2724025146771794,1.2205665631999678,1.3254904484398193,-0.00024625555679014255,-0.01934984439931897
primary_rurality_nonmetro_nonadjacent,mortality_rate_ratio,1.2351689579996967,1.2349854322162956,1.170513627986865,1.3020170394118624,1.2347077439025274,1.2345851671023114,1.1699021376344882,1.3015787739716422,-0.0004002651139842772,-0.032410512994140994
sigma_state,model_parameter,0.1899743660923759,0.18807955912207022,0.15173649895046495,0.23830719378451892,0.1925934188931432,0.19062044698908331,0.15395484489791525,0.24213664478261546,0.002540887867013092,1.3509643891519207
sigma_year,model_parameter,0.1533871623942049,0.13848157260181232,0.07978230486966617,0.3168111865354628,0.17973353519376983,0.15737891655100542,0.085955113246257,0.40397640008736607,0.018897343949193096,13.646107271997998
state_effect[01],model_parameter,-0.20283693637793732,-0.20274876990325116,-0.2827157996340874,-0.12331710373591635,-0.20333255676700673,-0.20318832597470887,-0.2832963546876148,-0.12368234557914823,-0.0004395560714577085,0.2167983912639615
state_effect[02],model_parameter,0.059645025599386496,0.05921261214328352,-0.11697466546556629,0.2355411148649106,0.0604124937506213,0.059736820850178514,-0.11631728792797197,0.23669476948973286,0.0005242087068949922,0.885299073829926
state_effect[04],model_parameter,-0.11780886365623486,-0.11778932476780386,-0.22428243483303678,-0.013239679654143908,-0.11826852314193059,-0.11790111381902939,-0.22554026936488528,-0.013746899040437086,-0.00011178905122552485,0.09490592754979321
state_effect[05],model_parameter,0.10095985125379772,0.10118158123479304,0.01686563157912174,0.18448368617150251,0.10114295152208719,0.10123104132231475,0.016830711528571213,0.1847502419987744,4.946008752171327e-05,0.048882501062075256
state_effect[06],model_parameter,-0.06610953198877537,-0.066303640403619,-0.11985651945398672,-0.012087749218481636,-0.06618467353004495,-0.06646755709799536,-0.1198374230744501,-0.012191793033864622,-0.00016391669437636203,0.24722125870997314
state_effect[08],model_parameter,0.3155379426105215,0.31559928616663147,0.2386101964676617,0.3923397170764241,0.31570512985283417,0.31586345834149054,0.23847012810716384,0.39240637102692316,0.0002641721748590786,0.0837049342119256
state_effect[09],model_parameter,0.17559693236612592,0.17516727400983695,0.04817295225362362,0.30288362375994093,0.1760867531748867,0.17576718745561978,0.04788018030527361,0.303187253850516,0.0005999134457828348,0.342480322979255
state_effect[10],model_parameter,-0.09067980004126858,-0.09138854151231258,-0.2636200250732074,0.08537564586670118,-0.09169461263797139,-0.09197002117694374,-0.26469844523025027,0.08437874934822455,-0.0005814796646311515,0.636271960366952
state_effect[11],model_parameter,0.22701952356975913,0.2258251281353657,0.007411271072033983,0.4523202763392142,0.2300493429205816,0.22915218710613466,0.009146107471849763,0.456693308612566,0.003327058970768959,1.4732899736359828
state_effect[12],model_parameter,-0.3215656691524444,-0.3215832705935724,-0.38328399257610885,-0.26043329828913,-0.32184817458036186,-0.3217611887076795,-0.3838824234271528,-0.2607267201178917,-0.00017791811410711178,0.055325674677897396
state_effect[13],model_parameter,-0.20705073640526184,-0.20696532723861588,-0.267945226019603,-0.1465220443026492,-0.20719878902984884,-0.20714595877784026,-0.26831511127938773,-0.14663731310492734,-0.00018063153922437403,0.0872762320309528
