chain_left,chain_right,starting_l1_distance_free,final_l1_distance_free,starting_cells_different,final_cells_different
1,2,16976,16582,3167,4238
1,3,17292,16626,3223,4272
1,4,17478,16842,3221,4294
2,3,17218,16558,3205,4198
2,4,17700,17102,3270,4289
3,4,17546,16810,3266,4280
