type,block,min,median,max
count_move,blocked_refresh,0.0798177083333333,0.0805989583333333,0.0811197916666666
count_move,cycle_swap,0.004459856332103,0.00456119126604175,0.0046422219249614
count_move,interval_path,0.197172768019094,0.19886653724525505,0.1996654250748626
count_move,interval_transfer,0.2799619083215208,0.28061033994174267,0.2814413164155432
count_move,swap_2x2,0.0311737266329429,0.0314233132001646,0.0315852382592111
count_move,transfer,0.0789987995912657,0.07979087672507655,0.0808857091825596
parameter,beta,0.4705833333333333,0.47787499999999994,0.4782916666666666
parameter,log_kappa,0.296625,0.30049999999999993,0.3041666666666666
parameter,log_sigma_state,0.434375,0.439125,0.4419166666666667
parameter,log_sigma_year,0.39575,0.43814583333333335,0.443375
parameter,state,0.6107916666666666,0.6236041666666666,0.6300416666666667
parameter,year,0.0,0.3788541666666666,0.4182083333333333
