replicate,scenario,parameter,truth_irr,posterior_median_irr,posterior_lower_95,posterior_upper_95,bias_irr,relative_bias_percent,squared_error_irr,interval_width,truth_covered_by_95_interval,r_hat,ess_bulk,ess_tail
1,baseline_rate_3_4_kappa_10,primary_rurality_metro_other,1.12,1.1678150654341906,0.8857588974713952,1.500475797768396,0.0478150654341904,4.269202270909855,0.0022862804824759,0.6147169002970008,True,1.0165794033850069,252.52713025032344,600.8773601470192
1,baseline_rate_3_4_kappa_10,primary_rurality_nonmetro_adjacent,1.27,0.800329894116871,0.5393703624301105,1.1107009786640811,-0.4696701058831289,-36.98189810103377,0.2205900083602695,0.5713306162339706,False,1.0319303974269791,173.35016086462963,294.94701023323023
1,baseline_rate_3_4_kappa_10,primary_rurality_nonmetro_nonadjacent,1.23,1.0932123692352478,0.7663186168696313,1.5250215284467612,-0.1367876307647522,-11.12094559063026,0.0187108559302341,0.7587029115771299,True,1.0096482095529131,170.84818268423658,294.62712691413606
1,baseline_rate_3_4_kappa_10,svi_quartile_Q2,1.1,0.988975426864497,0.7485362107221218,1.3158817571838692,-0.111024573135503,-10.093143012318462,0.0123264558399206,0.5673455464617474,True,1.0146584953682465,236.6493113132468,750.163510346641
1,baseline_rate_3_4_kappa_10,svi_quartile_Q3,1.25,1.3061291630859126,1.004326279523824,1.6970456756446357,0.0561291630859126,4.490333046873007,0.0031504829487249,0.6927193961208116,True,1.0082995914812831,284.50733501438054,717.338609720621
1,baseline_rate_3_4_kappa_10,svi_quartile_Q4_highest,1.43,1.5776085127128057,1.1425866126061122,2.1678555646096704,0.1476085127128057,10.322273616280132,0.0217882730252865,1.0252689520035585,True,1.008773329544233,208.2603306283841,463.05333894046265
2,lower_rate_2_4_kappa_10,primary_rurality_metro_other,1.12,1.280660077595256,0.944281346762513,1.7615578756953083,0.160660077595256,14.34464978529071,0.0258116605329136,0.8172765289327953,True,1.0160010424427233,202.34056142995783,653.3380184374363
2,lower_rate_2_4_kappa_10,primary_rurality_nonmetro_adjacent,1.27,1.5707571554185686,1.0395727914913813,2.3184839162290296,0.3007571554185686,23.681665780989647,0.090454866535469,1.2789111247376483,True,1.0296075225993118,165.97126412573903,377.0804957387315
2,lower_rate_2_4_kappa_10,primary_rurality_nonmetro_nonadjacent,1.23,1.7650782639039462,1.1897349505019923,2.588402891557521,0.5350782639039462,43.50229787836961,0.2863087485024611,1.3986679410555287,True,1.0254022500208138,148.5934406760014,490.8889669313569
2,lower_rate_2_4_kappa_10,svi_quartile_Q2,1.1,1.1217813558620469,0.827405831904553,1.4996105004150757,0.0217813558620467,1.9801232601860617,0.0004744274631891,0.6722046685105227,True,1.0290785477671742,215.4451598581988,612.856176696061
2,lower_rate_2_4_kappa_10,svi_quartile_Q3,1.25,1.0899719676391355,0.8208509021356506,1.435737235142733,-0.1600280323608642,-12.80224258886914,0.0256089711412898,0.6148863330070827,True,1.0157630818157102,199.3346850155287,527.792895539044
2,lower_rate_2_4_kappa_10,svi_quartile_Q4_highest,1.43,1.0101637954799874,0.6910169558940255,1.423533715247281,-0.4198362045200126,-29.35917514125962,0.1762624386257698,0.7325167593532552,False,1.013947473911938,145.44936862892217,379.0791064970493
3,higher_rate_5_0_kappa_10,primary_rurality_metro_other,1.12,0.9942481512931524,0.7766431085992107,1.2762174178278305,-0.1257518487068476,-11.227843634539967,0.0158135274531898,0.4995743092286198,True,1.0103459613096906,337.2576097489949,992.2453108957204
3,higher_rate_5_0_kappa_10,primary_rurality_nonmetro_adjacent,1.27,1.0149901871596083,0.7479348363197631,1.3824884842165333,-0.2550098128403917,-20.079512822078083,0.0650300046448916,0.6345536478967702,True,1.013110987545845,196.07616247960053,607.7464578069292
3,higher_rate_5_0_kappa_10,primary_rurality_nonmetro_nonadjacent,1.23,0.95916707768354,0.7011186997012995,1.3059893675144405,-0.2708329223164598,-22.01893677369592,0.0733504718104735,0.604870667813141,True,1.0108164415087793,192.13140425711103,414.4739533561182
3,higher_rate_5_0_kappa_10,svi_quartile_Q2,1.1,0.900678047310832,0.6856102114893041,1.1498877934462477,-0.199321952689168,-18.1201775171971,0.0397292408238229,0.4642775819569436,True,1.00335269644813,293.9757103876327,530.3968787024111
3,higher_rate_5_0_kappa_10,svi_quartile_Q3,1.25,1.2682002384988504,1.005375755072177,1.5774764479787724,0.0182002384988504,1.456019079908044,0.000331248681415,0.5721006929065955,True,1.0127419333112613,256.5223815878256,653.2273027735558
3,higher_rate_5_0_kappa_10,svi_quartile_Q4_highest,1.43,1.6285850333381826,1.242614181190563,2.137548567133981,0.1985850333381826,13.887065268404374,0.0394360154659271,0.8949343859434178,True,1.0109206967869446,226.28115670539,622.7523444431586
