replicate,scenario,cell_group,cells,mean_absolute_error,root_mean_squared_error,coverage_95,mean_interval_width
1,baseline_rate_3_4_kappa_10,all_cells,432,0.3483596965020576,0.6562193963730948,0.9976851851851852,1.4515046296296288
1,baseline_rate_3_4_kappa_10,suppressed_cells,217,0.6935087045570916,0.9258935729968168,0.9953917050691244,2.8896313364055284
1,baseline_rate_3_4_kappa_10,exact_cells,39,0.0,0.0,1.0,0.0
1,baseline_rate_3_4_kappa_10,zero_cells,176,0.0,0.0,1.0,0.0
2,lower_rate_2_4_kappa_10,all_cells,432,0.2744611625514403,0.5736687301824712,0.9953703703703703,1.210648148148148
2,lower_rate_2_4_kappa_10,suppressed_cells,198,0.598824354657688,0.8473648719165711,0.98989898989899,2.641414141414141
2,lower_rate_2_4_kappa_10,exact_cells,32,0.0,0.0,1.0,0.0
2,lower_rate_2_4_kappa_10,zero_cells,202,0.0,0.0,1.0,0.0
3,higher_rate_5_0_kappa_10,all_cells,432,0.5132793209876544,0.8963313670174982,0.9953703703703703,2.1527777777777777
3,higher_rate_5_0_kappa_10,suppressed_cells,246,0.9013685636856368,1.1877988887419484,0.991869918699187,3.7804878048780486
3,higher_rate_5_0_kappa_10,exact_cells,47,0.0,0.0,1.0,0.0
3,higher_rate_5_0_kappa_10,zero_cells,139,0.0,0.0,1.0,0.0
4,baseline_rate_3_4_kappa_4,all_cells,432,0.3965573559670782,0.7923400025433173,0.9953703703703703,1.460648148148148
4,baseline_rate_3_4_kappa_4,suppressed_cells,196,0.8740447845804988,1.1763198353779534,0.9897959183673468,3.2193877551020407
4,baseline_rate_3_4_kappa_4,exact_cells,39,0.0,0.0,1.0,0.0
4,baseline_rate_3_4_kappa_4,zero_cells,197,0.0,0.0,1.0,0.0
