handling_scenario,parameter,replicates,coverage_fraction,coverage_exact_95_lower,coverage_exact_95_upper,mean_bias_irr,root_mean_squared_error_irr
oracle_complete_counts,primary_rurality_metro_other,4,1.0,0.3976353643835253,1.0,0.0630150377101803,0.11616904764409343
oracle_complete_counts,primary_rurality_nonmetro_adjacent,4,0.75,0.19412044968324338,0.9936905367902902,-0.13453166908239186,0.2433158964880242
oracle_complete_counts,primary_rurality_nonmetro_nonadjacent,4,0.75,0.19412044968324338,0.9936905367902902,0.020134033224236833,0.31678774787743635
oracle_complete_counts,svi_quartile_Q2,4,1.0,0.3976353643835253,1.0,-0.038277779601055356,0.10211158991836443
oracle_complete_counts,svi_quartile_Q3,4,1.0,0.3976353643835253,1.0,-0.06114627520273028,0.16179770844047514
oracle_complete_counts,svi_quartile_Q4_highest,4,0.75,0.19412044968324338,0.9936905367902902,-0.004447145673271875,0.27247621575788783
visible_exact_and_zero_only,primary_rurality_metro_other,4,0.25,0.006309463209709866,0.8058795503167565,-1.025538109457219,1.0290637159733305
visible_exact_and_zero_only,primary_rurality_nonmetro_adjacent,4,0.25,0.006309463209709866,0.8058795503167565,-1.2699999999985987,1.2699999999985987
visible_exact_and_zero_only,primary_rurality_nonmetro_nonadjacent,4,0.25,0.006309463209709866,0.8058795503167565,-1.2065878047700869,1.2072690351682664
visible_exact_and_zero_only,svi_quartile_Q2,4,0.75,0.19412044968324338,0.9936905367902902,-0.6828741595537615,0.7985074931105675
visible_exact_and_zero_only,svi_quartile_Q3,4,0.5,0.06758598648854294,0.932414013511457,3.479137369277153e+119,6.958274738554307e+119
visible_exact_and_zero_only,svi_quartile_Q4_highest,4,0.75,0.19412044968324338,0.9936905367902902,0.4738328047810575,1.8536768652265116
suppressed_equals_1,primary_rurality_metro_other,4,0.0,0.0,0.6023646356164746,-0.5631592114769586,0.5678502052732712
suppressed_equals_1,primary_rurality_nonmetro_adjacent,4,0.25,0.006309463209709866,0.8058795503167565,-0.579890511903011,0.6146606411153321
suppressed_equals_1,primary_rurality_nonmetro_nonadjacent,4,0.25,0.006309463209709866,0.8058795503167565,-0.5306074912613201,0.5843025178367145
suppressed_equals_1,svi_quartile_Q2,4,1.0,0.3976353643835253,1.0,0.09117742007990434,0.13906121382596875
suppressed_equals_1,svi_quartile_Q3,4,0.5,0.06758598648854294,0.932414013511457,0.41576945232223034,0.44412182595043753
suppressed_equals_1,svi_quartile_Q4_highest,4,0.75,0.19412044968324338,0.9936905367902902,0.41893273330867653,0.5624147586282633
suppressed_equals_5,primary_rurality_metro_other,4,0.0,0.0,0.6023646356164746,0.8885260061413824,1.0101529822083104
suppressed_equals_5,primary_rurality_nonmetro_adjacent,4,0.0,0.0,0.6023646356164746,1.3671072226565655,1.4764271646483174
suppressed_equals_5,primary_rurality_nonmetro_nonadjacent,4,0.0,0.0,0.6023646356164746,1.6634381808886307,1.8831696517266032
suppressed_equals_5,svi_quartile_Q2,4,1.0,0.3976353643835253,1.0,-0.15439452230963246,0.2165168386952482
suppressed_equals_5,svi_quartile_Q3,4,0.25,0.006309463209709866,0.8058795503167565,-0.3509487823962465,0.3651114740274819
suppressed_equals_5,svi_quartile_Q4_highest,4,0.25,0.006309463209709866,0.8058795503167565,-0.6263457475614111,0.6420881854202777
suppressed_equals_9,primary_rurality_metro_other,4,0.0,0.0,0.6023646356164746,1.4881580988016054,1.6259155753157406
suppressed_equals_9,primary_rurality_nonmetro_adjacent,4,0.0,0.0,0.6023646356164746,2.261664834558018,2.362856400521108
suppressed_equals_9,primary_rurality_nonmetro_nonadjacent,4,0.0,0.0,0.6023646356164746,2.8253377768100747,3.055945926446709
suppressed_equals_9,svi_quartile_Q2,4,0.75,0.19412044968324338,0.9936905367902902,-0.20925507143442798,0.26890077622564246
suppressed_equals_9,svi_quartile_Q3,4,0.25,0.006309463209709866,0.8058795503167565,-0.4807303977276105,0.48893812756962607
suppressed_equals_9,svi_quartile_Q4_highest,4,0.0,0.0,0.6023646356164746,-0.7706617534800628,0.7832440961617051
population_favoring_feasible_allocation,primary_rurality_metro_other,4,1.0,0.3976353643835253,1.0,0.12986916731054093,0.17994010106697791
population_favoring_feasible_allocation,primary_rurality_nonmetro_adjacent,4,1.0,0.3976353643835253,1.0,-0.2251156818453073,0.26436791775379503
population_favoring_feasible_allocation,primary_rurality_nonmetro_nonadjacent,4,1.0,0.3976353643835253,1.0,-0.0837518451348879,0.19760417730812221
population_favoring_feasible_allocation,svi_quartile_Q2,4,1.0,0.3976353643835253,1.0,-0.06940955195346529,0.09276674924047679
population_favoring_feasible_allocation,svi_quartile_Q3,4,1.0,0.3976353643835253,1.0,-0.12103190779186948,0.20599777932015947
population_favoring_feasible_allocation,svi_quartile_Q4_highest,4,1.0,0.3976353643835253,1.0,-0.013663380555730114,0.26885978534515964
