replicate,truth_scenario,scenario,model_type,term,coefficient,irr,ci_low,ci_high,standard_error,n_rows,events,truth_irr,bias_irr,squared_error_irr,truth_covered_by_95_interval
1,baseline_rate_3_4_kappa_10,oracle_complete_counts,NB2_GLM_known_dispersion_HC0,primary_rurality_metro_other,0.1340746901627035,1.143478223029737,0.9090157702084158,1.4384155802307543,0.117075268445765,432,2801.0,1.12,0.0234782230297367,0.000551226956634,True
1,baseline_rate_3_4_kappa_10,oracle_complete_counts,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_adjacent,-0.1120800013492116,0.8939727356144641,0.6383395586255367,1.2519782633287002,0.1718392409784993,432,2801.0,1.27,-0.3760272643855359,0.1413965035612697,False
1,baseline_rate_3_4_kappa_10,oracle_complete_counts,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_nonadjacent,0.0857820168043808,1.0895687947291832,0.8024707176536552,1.479381281249419,0.156041801200605,432,2801.0,1.23,-0.1404312052708167,0.0197209234138142,True
1,baseline_rate_3_4_kappa_10,oracle_complete_counts,NB2_GLM_known_dispersion_HC0,svi_quartile_Q2,0.083128316939409,1.0866812392131178,0.8291429762557628,1.42421289147301,0.1380056057729135,432,2801.0,1.1,-0.0133187607868823,0.0001773893888981,True
1,baseline_rate_3_4_kappa_10,oracle_complete_counts,NB2_GLM_known_dispersion_HC0,svi_quartile_Q3,0.3561550110491002,1.4278288603600715,1.1429564995260115,1.783703277703566,0.1135391250602688,432,2801.0,1.25,0.1778288603600717,0.0316231035769618,True
1,baseline_rate_3_4_kappa_10,oracle_complete_counts,NB2_GLM_known_dispersion_HC0,svi_quartile_Q4_highest,0.4758200380480998,1.6093333711219682,1.2225760508965808,2.118439910145013,0.140234636884578,432,2801.0,1.43,0.1793333711219682,0.0321604579979695,True
1,baseline_rate_3_4_kappa_10,visible_exact_and_zero_only,NB2_GLM_known_dispersion_HC0,primary_rurality_metro_other,-3.893210313690488,0.0203798153070271,0.0013211694576578,0.3143706278866339,1.3959324837483615,215,2288.0,1.12,-1.099620184692973,1.209164550584208,False
1,baseline_rate_3_4_kappa_10,visible_exact_and_zero_only,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_adjacent,-39.16317102497689,9.809591670570607e-18,1.6533352660310628e-22,5.820240499335014e-13,5.607605306047792,215,2288.0,1.27,-1.27,1.6129,False
1,baseline_rate_3_4_kappa_10,visible_exact_and_zero_only,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_nonadjacent,-31.178813008944772,2.8788136810123374e-14,3.4866587856059856e-17,2.376936981673526e-11,3.426627378739968,215,2288.0,1.23,-1.2299999999999711,1.5128999999999289,False
1,baseline_rate_3_4_kappa_10,visible_exact_and_zero_only,NB2_GLM_known_dispersion_HC0,svi_quartile_Q2,-4.661588997584921,0.0094514321604872,0.000292985200527,0.3048944783682271,1.772346664686067,215,2288.0,1.1,-1.0905485678395128,1.1892961788168126,False
1,baseline_rate_3_4_kappa_10,visible_exact_and_zero_only,NB2_GLM_known_dispersion_HC0,svi_quartile_Q3,3.1965526497411814,24.448103580456305,4.021790433313436,148.6178304393361,0.9208293187968698,215,2288.0,1.25,23.198103580456305,538.1520097295796,False
1,baseline_rate_3_4_kappa_10,visible_exact_and_zero_only,NB2_GLM_known_dispersion_HC0,svi_quartile_Q4_highest,-1.4748678120515186,0.2288089708346949,0.0240862942025849,2.1735823989401304,1.1485941293342503,215,2288.0,1.43,-1.201191029165305,1.4428598885472046,True
1,baseline_rate_3_4_kappa_10,suppressed_equals_1,NB2_GLM_known_dispersion_HC0,primary_rurality_metro_other,-0.6731742502513021,0.5100868619325708,0.3549365027302429,0.7330567713233058,0.1850214902052962,432,2505.0,1.12,-0.6099131380674293,0.3719940359872591,False
1,baseline_rate_3_4_kappa_10,suppressed_equals_1,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_adjacent,-0.5736411557755486,0.5634700168087418,0.3872045648494589,0.819976024729677,0.1914086624947589,432,2505.0,1.27,-0.7065299831912583,0.4991846171482397,False
1,baseline_rate_3_4_kappa_10,suppressed_equals_1,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_nonadjacent,-0.5942675305810831,0.5519667165758951,0.3879539420289474,0.7853181091915329,0.1798985315994228,432,2505.0,1.23,-0.6780332834241048,0.4597291334308725,False
1,baseline_rate_3_4_kappa_10,suppressed_equals_1,NB2_GLM_known_dispersion_HC0,svi_quartile_Q2,0.0465946784222496,1.0476972686972963,0.7516018508507467,1.4604402125850413,0.1694608302655856,432,2505.0,1.1,-0.0523027313027035,0.0027355757017228,True
1,baseline_rate_3_4_kappa_10,suppressed_equals_1,NB2_GLM_known_dispersion_HC0,svi_quartile_Q3,0.4870327716258495,1.6274799436684464,1.256786432034609,2.107510790640132,0.1318748772290091,432,2505.0,1.25,0.3774799436684464,0.1424911078719334,False
1,baseline_rate_3_4_kappa_10,suppressed_equals_1,NB2_GLM_known_dispersion_HC0,svi_quartile_Q4_highest,0.545919510612799,1.7261949073884617,1.161600873356504,2.565208865316816,0.2021022416674452,432,2505.0,1.43,0.2961949073884617,0.0877314231628594,True
1,baseline_rate_3_4_kappa_10,suppressed_equals_5,NB2_GLM_known_dispersion_HC0,primary_rurality_metro_other,0.6359968911902889,1.888904235172892,1.491444271481327,2.392284631668023,0.1205366994853166,432,3373.0,1.12,0.7689042351728919,0.5912137228668098,False
1,baseline_rate_3_4_kappa_10,suppressed_equals_5,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_adjacent,0.8934237944345617,2.4434813236836805,1.7863726480950777,3.3423042977946302,0.159814634793484,432,3373.0,1.27,1.1734813236836803,1.377058417034403,False
1,baseline_rate_3_4_kappa_10,suppressed_equals_5,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_nonadjacent,0.9861530084159832,2.680901204724109,2.0146081029964877,3.5675580073370288,0.1457797560005011,432,3373.0,1.23,1.4509012047241092,2.105114305869872,False
1,baseline_rate_3_4_kappa_10,suppressed_equals_5,NB2_GLM_known_dispersion_HC0,svi_quartile_Q2,-0.0949718812087645,0.9093985052954396,0.6772540298417787,1.221115866415422,0.1503760033286945,432,3373.0,1.1,-0.1906014947045604,0.0363289297836125,True
1,baseline_rate_3_4_kappa_10,suppressed_equals_5,NB2_GLM_known_dispersion_HC0,svi_quartile_Q3,-0.1512782681382448,0.8596084637281987,0.6720942491412664,1.0994391216072434,0.1255502186003977,432,3373.0,1.25,-0.3903915362718013,0.1524055515926571,False
1,baseline_rate_3_4_kappa_10,suppressed_equals_5,NB2_GLM_known_dispersion_HC0,svi_quartile_Q4_highest,-0.2718277116877123,0.7619855309824993,0.5678755895614912,1.0224456907454549,0.1500128597074233,432,3373.0,1.43,-0.6680144690175006,0.4462433308167333,False
1,baseline_rate_3_4_kappa_10,suppressed_equals_9,NB2_GLM_known_dispersion_HC0,primary_rurality_metro_other,0.9244778307371868,2.5205517620151228,1.9254562758855127,3.2995717766043406,0.1374055431886397,432,4241.0,1.12,1.4005517620151229,1.9615452380836649,False
1,baseline_rate_3_4_kappa_10,suppressed_equals_9,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_adjacent,1.2190505923139945,3.3839734376331894,2.405012497320253,4.761420674265264,0.1742323940708232,432,4241.0,1.27,2.1139734376331893,4.468883695018684,False
1,baseline_rate_3_4_kappa_10,suppressed_equals_9,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_nonadjacent,1.351565339945326,3.8634684413370937,2.821647441152775,5.2899551444703325,0.1603287890728353,432,4241.0,1.23,2.6334684413370937,6.935156031518422,False
1,baseline_rate_3_4_kappa_10,suppressed_equals_9,NB2_GLM_known_dispersion_HC0,svi_quartile_Q2,-0.1368717527310982,0.8720820611032861,0.6249053435672226,1.2170277132801373,0.1700425195289973,432,4241.0,1.1,-0.2279179388967139,0.0519465868709262,True
1,baseline_rate_3_4_kappa_10,suppressed_equals_9,NB2_GLM_known_dispersion_HC0,svi_quartile_Q3,-0.324923393165679,0.7225827062955138,0.5466035397137825,0.9552184160950528,0.1424021104426174,432,4241.0,1.25,-0.5274172937044862,0.2781690016985642,False
1,baseline_rate_3_4_kappa_10,suppressed_equals_9,NB2_GLM_known_dispersion_HC0,svi_quartile_Q4_highest,-0.4746292478502449,0.6221156644331635,0.4483839409084192,0.8631618232111604,0.167079670808583,432,4241.0,1.43,-0.8078843355668365,0.6526770996542688,False
1,baseline_rate_3_4_kappa_10,population_favoring_feasible_allocation,NB2_GLM_known_dispersion_HC0,primary_rurality_metro_other,0.2077643040594775,1.2309230117987324,0.8991550593477107,1.6851058615794683,0.1602367773645774,432,2801.0,1.12,0.1109230117987323,0.0123039145465017,True
1,baseline_rate_3_4_kappa_10,population_favoring_feasible_allocation,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_adjacent,-0.1585674891504265,0.8533653689436886,0.5646613755101481,1.2896799471266656,0.2106946804789698,432,2801.0,1.27,-0.4166346310563114,0.1735844157954287,True
1,baseline_rate_3_4_kappa_10,population_favoring_feasible_allocation,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_nonadjacent,0.085407745099311,1.0891610762620916,0.7308635480924806,1.6231098857516033,0.2035389012611556,432,2801.0,1.23,-0.1408389237379084,0.0198356024396523,True
1,baseline_rate_3_4_kappa_10,population_favoring_feasible_allocation,NB2_GLM_known_dispersion_HC0,svi_quartile_Q2,0.0549339551591863,1.0564708379230074,0.7694263135952187,1.450601066873465,0.1617571654378515,432,2801.0,1.1,-0.0435291620769926,0.001894787951125,True
1,baseline_rate_3_4_kappa_10,population_favoring_feasible_allocation,NB2_GLM_known_dispersion_HC0,svi_quartile_Q3,0.2551817686248022,1.290696207626686,0.9657137408434304,1.7250419352291253,0.147994689714686,432,2801.0,1.25,0.0406962076266859,0.0016561813151943,True
1,baseline_rate_3_4_kappa_10,population_favoring_feasible_allocation,NB2_GLM_known_dispersion_HC0,svi_quartile_Q4_highest,0.4642094956980968,1.5907561921135354,1.1134083913758102,2.2727556953479358,0.1820324297176664,432,2801.0,1.43,0.1607561921135354,0.0258425533028439,True
2,lower_rate_2_4_kappa_10,oracle_complete_counts,NB2_GLM_known_dispersion_HC0,primary_rurality_metro_other,0.2350830292633548,1.2650137975363425,0.945315889775052,1.692830857141434,0.1486322253647547,432,1992.0,1.12,0.1450137975363423,0.0210290014759112,True
2,lower_rate_2_4_kappa_10,oracle_complete_counts,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_adjacent,0.3678881858907069,1.4446804942798783,1.001377210076291,2.0842313061965387,0.1869958792338723,432,1992.0,1.27,0.1746804942798783,0.0305132750818626,True
2,lower_rate_2_4_kappa_10,oracle_complete_counts,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_nonadjacent,0.5843804853032982,1.7938793067301153,1.238125782159316,2.5990921225323795,0.1891743444407869,432,1992.0,1.23,0.5638793067301153,0.3179598725584355,False
2,lower_rate_2_4_kappa_10,oracle_complete_counts,NB2_GLM_known_dispersion_HC0,svi_quartile_Q2,0.0282188474203191,1.0286207707929156,0.7866884239275417,1.344955204532239,0.1368070713767153,432,1992.0,1.1,-0.0713792292070845,0.0050949943621975,True
