parameter,replicates,coverage_successes,coverage_fraction,coverage_exact_95_lower,coverage_exact_95_upper,mean_bias_irr,median_bias_irr,root_mean_squared_error_irr,median_absolute_relative_bias_percent,median_interval_width,maximum_rhat,minimum_bulk_ess,minimum_tail_ess
primary_rurality_metro_other,4,4,1.0,0.3976353643835253,1.0,0.03338105338351102,0.04930799232281785,0.10781025213460337,7.881819996352368,0.6770201625450565,1.025951703972929,202.34056142995783,600.8773601470192
primary_rurality_nonmetro_adjacent,4,3,0.75,0.19412044968324338,0.9936905367902902,-0.18227709018717614,-0.2800977051420721,0.34249566728198555,23.856013892217366,0.7356698808757278,1.0319303974269791,163.36234630526891,294.94701023323023
primary_rurality_nonmetro_nonadjacent,4,4,1.0,0.3976353643835253,1.0,-0.004517570327460946,-0.1411578114486651,0.31604923379803834,16.92524042475764,0.8486169786675757,1.0254022500208138,148.5934406760014,294.62712691413606
svi_quartile_Q2,4,4,1.0,0.3976353643835253,1.0,-0.053863316860620666,-0.04462160863672815,0.12028661024512163,8.369839802529306,0.6197751074861351,1.0290785477671742,215.4451598581988,530.3968787024111
svi_quartile_Q3,4,4,1.0,0.3976353643835253,1.0,-0.03231899021645572,-0.01268854579543565,0.08801943886037078,3.9882597270253726,0.6538028645639471,1.0213185737457158,199.3346850155287,527.792895539044
svi_quartile_Q4_highest,4,3,0.75,0.19412044968324338,0.9936905367902902,0.04709195053186114,0.17309677302549414,0.27664788476462143,16.10473755016264,0.9601016689734881,1.017809682716185,145.44936862892217,379.0791064970493
