chain,block,accepted,proposed,acceptance_rate,type
1,transfer,24880,196490,0.1266222199603033,count_move
1,interval_transfer,163877,492040,0.3330562555889765,count_move
1,interval_path,158539,492344,0.3220085956160733,count_move
1,swap_2x2,14632,590388,0.0247837015657499,count_move
1,cycle_swap,495,196738,0.0025160365562321,count_move
1,blocked_refresh,1005,7680,0.130859375,count_move
1,beta,10849,24000,0.4520416666666667,parameter
1,state,16797,24000,0.699875,parameter
1,year,7954,24000,0.3314166666666667,parameter
1,log_sigma_state,10584,24000,0.441,parameter
1,log_sigma_year,10469,24000,0.4362083333333333,parameter
1,log_kappa,7743,24000,0.322625,parameter
2,transfer,24849,197092,0.1260781766890589,count_move
2,interval_transfer,163979,492503,0.3329502561405717,count_move
2,interval_path,157884,491728,0.3210799466371652,count_move
2,swap_2x2,14477,589809,0.0245452341351183,count_move
2,cycle_swap,516,196868,0.0026210455736838,count_move
2,blocked_refresh,1013,7680,0.1319010416666666,count_move
2,beta,10752,24000,0.448,parameter
2,state,16347,24000,0.681125,parameter
2,year,8109,24000,0.337875,parameter
2,log_sigma_state,10426,24000,0.4344166666666667,parameter
2,log_sigma_year,10653,24000,0.443875,parameter
2,log_kappa,7831,24000,0.3262916666666666,parameter
3,transfer,25134,196218,0.1280922239549888,count_move
3,interval_transfer,163790,492824,0.3323498855575215,count_move
3,interval_path,158318,491738,0.3219560009598607,count_move
3,swap_2x2,14607,590648,0.0247304655226124,count_move
3,cycle_swap,483,196572,0.0024571149502472,count_move
3,blocked_refresh,986,7680,0.1283854166666666,count_move
3,beta,11052,24000,0.4605,parameter
3,state,16336,24000,0.6806666666666666,parameter
3,year,8008,24000,0.3336666666666666,parameter
3,log_sigma_state,10429,24000,0.4345416666666666,parameter
3,log_sigma_year,10569,24000,0.440375,parameter
3,log_kappa,7796,24000,0.3248333333333333,parameter
4,transfer,24872,196485,0.1265847265694582,count_move
4,interval_transfer,164003,492507,0.3329962822863431,count_move
4,interval_path,158404,491850,0.3220575378672359,count_move
4,swap_2x2,14467,590617,0.0244947233147708,count_move
4,cycle_swap,532,196541,0.0027068143542568,count_move
4,blocked_refresh,935,7680,0.1217447916666666,count_move
4,beta,10954,24000,0.4564166666666667,parameter
4,state,16712,24000,0.6963333333333334,parameter
4,year,8407,24000,0.3502916666666666,parameter
4,log_sigma_state,10446,24000,0.43525,parameter
4,log_sigma_year,10512,24000,0.438,parameter
4,log_kappa,7872,24000,0.328,parameter
