file,bytes,paragraphs,tables,readable
abstract_revised.docx,38382,9,0,True
cover_letter_revised.docx,38076,9,0,True
highlights_revised.docx,37695,6,0,True
manuscript_main_revised.docx,1595303,158,5,True
response_to_editorial_review.docx,39879,15,2,True
STROBE_checklist_revised.docx,38180,3,1,True
supplement_revised.docx,775497,45,10,True
title_page_revised.docx,38228,21,0,True
