type,block,min,median,max
count_move,blocked_refresh,0.101171875,0.1026692708333333,0.1078125
count_move,cycle_swap,0.0018998671191205,0.0020148358124445,0.0021797617086696
count_move,interval_path,0.1875090322269859,0.1881227733787211,0.188658963232815
count_move,interval_transfer,0.2398552931715643,0.24060421907160665,0.2410811688810551
count_move,swap_2x2,0.016994066057373,0.01705398321311235,0.0172786690433749
count_move,transfer,0.103698419666374,0.10402597039252415,0.1049268316826238
parameter,beta,0.390875,0.3917708333333333,0.3921666666666666
parameter,log_kappa,0.445625,0.4480208333333333,0.4517083333333333
parameter,log_sigma_state,0.4377083333333333,0.43895833333333334,0.440875
parameter,log_sigma_year,0.437,0.4403958333333333,0.44325
parameter,state,0.5406666666666666,0.5966666666666667,0.6035
parameter,year,0.3383333333333333,0.35656249999999995,0.37225
