chain,block,accepted,proposed,acceptance_rate,type
7,transfer,254749,4502067,0.05658489755927666,count_move
7,interval_transfer,6709516,27001515,0.24848664973057993,count_move
7,interval_path,4640023,22500353,0.2062200090816353,count_move
7,swap_2x2,1839453,26998749,0.0681310456273363,count_move
7,cycle_swap,175748,8997316,0.019533380843798305,count_move
7,blocked_refresh,5510,96000,0.05739583333333333,count_move
7,beta,109012,300000,0.3633733333333333,parameter
7,state,80459,300000,0.2681966666666667,parameter
7,year,88314,300000,0.29438,parameter
7,log_sigma_state,130173,300000,0.43391,parameter
7,log_sigma_year,158290,300000,0.5276333333333333,parameter
7,log_kappa,131063,300000,0.4368766666666667,parameter
