chain,block,accepted,proposed,acceptance_rate,type
6,transfer,2271328,49495660,0.04588943757897157,count_move
6,interval_transfer,3692140,18002219,0.20509360540497812,count_move
6,swap_2x2,1359974,22502121,0.06043759163858376,count_move
6,blocked_refresh,4389,96000,0.04571875,count_move
6,beta,25368,300000,0.08456,parameter
6,state,80998,300000,0.2699933333333333,parameter
6,year,106901,300000,0.3563366666666667,parameter
6,log_sigma_state,244438,300000,0.8147933333333334,parameter
6,log_sigma_year,282890,300000,0.9429666666666666,parameter
6,log_kappa,194930,300000,0.6497666666666667,parameter
