residual,statistic,expected_under_randomization,permutation_p_two_sided,permutations,observations,nonisolated_observations,directed_weight_sum
raw_residual,0.2312117978976916,-0.0003197953309881676,0.0001,9999,3142,3128,3128.0
pearson_residual,0.11730487181632097,-0.0003197953309881676,0.0001,9999,3142,3128,3128.0
