chain_left,chain_right,starting_l1_distance_free,final_l1_distance_free,starting_cells_different,final_cells_different
1,2,16976,16536,3167,4300
1,3,17292,16496,3223,4292
1,4,17478,16818,3221,4356
2,3,17218,16582,3205,4321
2,4,17700,17022,3270,4327
3,4,17546,16718,3266,4311
