type,block,min,median,max
count_move,blocked_refresh,0.0951822916666666,0.09811197916666664,0.10078125
count_move,cycle_swap,0.0034401124509876,0.0035655217643905,0.0037156670255663
count_move,interval_path,0.2218094985407269,0.2221593104335918,0.2223692219254049
count_move,interval_transfer,0.276127268848366,0.2763874992793727,0.2772867827899108
count_move,swap_2x2,0.0249284594345658,0.02515072529576165,0.0255847246985253
count_move,transfer,0.0970309651997092,0.09791809312601694,0.0987987277554346
parameter,beta,0.474875,0.47735416666666663,0.4804583333333333
parameter,log_kappa,0.317125,0.3196875,0.322
parameter,log_sigma_state,0.4337083333333333,0.43541666666666656,0.4461666666666666
parameter,log_sigma_year,0.4320833333333333,0.4356875,0.4389166666666667
parameter,state,0.6903333333333334,0.6982291666666667,0.7025833333333333
parameter,year,0.6309583333333333,0.6333958333333334,0.636125
