parameter,label,r_hat,ess_bulk,ess_tail,mcse_mean,mcse_sd,mean,sd,chains,draws_per_chain,draws,ess
Intercept,Intercept,1.0303639601220214,145.73884722632235,234.51571309453388,0.013586903485395301,0.010022087524297075,-10.500770014898517,0.16300133990973428,4,1800,7200,145.73884722632235
kappa,kappa,1.001348242294915,2323.165276085234,5297.706847765,0.01438689798371816,0.013008306021564284,3.1453673522577357,0.7031768890535327,4,1800,7200,2323.165276085234
primary_rurality_metro_other,metro_other vs metro_large,1.0121572958887128,326.3515159048319,894.5438502108598,0.009281110631272049,0.0062652814178463,0.03995727363095389,0.16737954688307044,4,1800,7200,326.3515159048319
primary_rurality_nonmetro_adjacent,nonmetro_adjacent vs metro_large,1.0180565918149107,146.02649511777847,287.4563839872459,0.017734532805353267,0.01323047840141799,0.22235696773785985,0.2133572268212197,4,1800,7200,146.02649511777847
primary_rurality_nonmetro_nonadjacent,nonmetro_nonadjacent vs metro_large,1.0239868302669664,153.9145865797706,350.82444129496406,0.018218236198213618,0.013010447763438373,0.3291761007153904,0.22601617269192742,4,1800,7200,153.9145865797706
sigma_state,sigma_state,1.0062129031188511,582.3758019694626,740.123183272483,0.005058804885732263,0.009480195149225261,0.23320279457000936,0.1450283649736467,4,1800,7200,582.3758019694626
sigma_year,sigma_year,1.0029628970995537,1122.5243825773684,847.0158284819097,0.003644380124884596,0.0054305017306837166,0.26454456369408696,0.15306651391830461,4,1800,7200,1122.5243825773684
state_effect[13],state_effect[13],1.0097123375765606,448.54562912360444,1493.1087200880474,0.0052283617631302395,0.00404711112809467,-0.07915735230764603,0.10952255165580596,4,1800,7200,448.54562912360444
state_effect[20],state_effect[20],1.0124284895129174,611.2339967869777,976.0894011839741,0.004809796108079675,0.0036443604870074787,0.043081864418712125,0.11710358625708603,4,1800,7200,611.2339967869777
state_effect[21],state_effect[21],1.001193089011716,925.5414302858118,1982.285122160941,0.0032891037988715755,0.0025019033633688305,-0.04768634830850556,0.09950678057704423,4,1800,7200,925.5414302858118
state_effect[29],state_effect[29],1.006875899484238,711.5806803307786,1470.310092064642,0.004391677183600884,0.0030279761121719674,-0.18469187250035332,0.11645490484844138,4,1800,7200,711.5806803307786
state_effect[48],state_effect[48],1.0047009920282814,773.7444329193415,1192.7837167791497,0.0037221460962906516,0.0028549692997566945,0.050969573951715814,0.10175602317919738,4,1800,7200,773.7444329193415
state_effect[51],state_effect[51],1.0058954749528086,457.72619766659017,904.804527347358,0.00534058478689701,0.0036013546656598772,0.21748413474607697,0.11473727360793008,4,1800,7200,457.72619766659017
svi_quartile_Q2,SVI Q2 vs Q1,1.0158485632966143,240.2332032301315,498.47366210503293,0.011383502096609155,0.007898623259140519,0.05048206585325919,0.17629386146468404,4,1800,7200,240.2332032301315
svi_quartile_Q3,SVI Q3 vs Q1,1.0087263159352382,296.36183684207737,724.8673548125468,0.009016099780651626,0.006357218789840538,0.36007025526508357,0.15508946764729897,4,1800,7200,296.36183684207737
svi_quartile_Q4_highest,SVI Q4 vs Q1,1.012298727137217,238.30292746021354,548.9433535473282,0.012272700949979376,0.009000898987134706,0.48525355507461415,0.18920344762203725,4,1800,7200,238.30292746021354
year_effect[2019],year_effect[2019],1.003291360034015,802.7359771862733,832.1646106279494,0.00454252270395551,0.0030230711261004296,-0.2726071201997698,0.1291329267204203,4,1800,7200,802.7359771862733
year_effect[2020],year_effect[2020],1.0015123793887508,1572.570697997004,2629.2776744946277,0.002528479844689949,0.0018783969779010714,-0.04305551899493774,0.1000449757576306,4,1800,7200,1572.570697997004
year_effect[2021],year_effect[2021],1.0027891914816551,1860.6318636211636,3022.634653818703,0.0022869314864423554,0.0016574028127322922,-0.05833976816622082,0.09837858678449618,4,1800,7200,1860.6318636211636
year_effect[2022],year_effect[2022],1.0014359207080004,1936.0061472774014,3143.81691272476,0.0022135433939128118,0.001659979028490931,0.02004296545901482,0.09690787543212925,4,1800,7200,1936.0061472774014
year_effect[2023],year_effect[2023],1.0049464456307249,1158.5996710998652,1900.466582412602,0.0031027348496582715,0.002119216187648181,0.18098428123651628,0.10583806531454726,4,1800,7200,1158.5996710998652
year_effect[2024],year_effect[2024],1.0005794544115008,1146.7621423061926,2027.4061583474759,0.003090978107138536,0.002138774997887009,0.1729751606653973,0.10482184106201012,4,1800,7200,1146.7621423061926
z_pct_age65,pct_age65 coefficient,1.020615721048587,167.9966196838311,292.0719945955604,0.008421592058667762,0.006336844561252422,0.018279453017632775,0.1082262290768566,4,1800,7200,167.9966196838311
z_pct_male,pct_male coefficient,1.0035527301863851,533.2273096273191,1472.60687909022,0.004266960804965906,0.002948261578115299,-0.25905945807206093,0.09845574434990102,4,1800,7200,533.2273096273191
