chain,chain_id,config_path,grand_total,iteration,mode,outputs,resume_source,saved_draws,seed,status,suppressed_cells_treated_as_zero,target_iteration,updated
1,1,/home/runner/work/epilepsy-status-mortality-suppression-atlas-2019-2024/epilepsy-status-mortality-suppression-atlas-2019-2024/outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/calibration_extension_chain_01_config.yaml,3023,28000,extend,"{'acceptance_rates': 'outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/chains/chain_01/acceptance_rates.csv', 'draws_latent': 'outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/chains/chain_01/draws_latent.npz', 'draws_params': 'outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/chains/chain_01/draws_params.parquet', 'latent_validation': 'outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/chains/chain_01/latent_validation.csv', 'runtime_log': 'outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/chains/chain_01/runtime_log.csv'}",outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/chains/chain_01/checkpoints/checkpoint_iter_000008000.npz,2600,142001,completed,False,28000,2026-08-11T01:31:10
2,2,/home/runner/work/epilepsy-status-mortality-suppression-atlas-2019-2024/epilepsy-status-mortality-suppression-atlas-2019-2024/outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/calibration_extension_chain_02_config.yaml,3023,28000,extend,"{'acceptance_rates': 'outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/chains/chain_02/acceptance_rates.csv', 'draws_latent': 'outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/chains/chain_02/draws_latent.npz', 'draws_params': 'outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/chains/chain_02/draws_params.parquet', 'latent_validation': 'outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/chains/chain_02/latent_validation.csv', 'runtime_log': 'outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/chains/chain_02/runtime_log.csv'}",outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/chains/chain_02/checkpoints/checkpoint_iter_000008000.npz,2600,142002,completed,False,28000,2026-08-11T01:31:52
3,3,/home/runner/work/epilepsy-status-mortality-suppression-atlas-2019-2024/epilepsy-status-mortality-suppression-atlas-2019-2024/outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/calibration_extension_chain_03_config.yaml,3023,28000,extend,"{'acceptance_rates': 'outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/chains/chain_03/acceptance_rates.csv', 'draws_latent': 'outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/chains/chain_03/draws_latent.npz', 'draws_params': 'outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/chains/chain_03/draws_params.parquet', 'latent_validation': 'outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/chains/chain_03/latent_validation.csv', 'runtime_log': 'outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/chains/chain_03/runtime_log.csv'}",outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/chains/chain_03/checkpoints/checkpoint_iter_000008000.npz,2600,142003,completed,False,28000,2026-08-11T01:35:04
4,4,/home/runner/work/epilepsy-status-mortality-suppression-atlas-2019-2024/epilepsy-status-mortality-suppression-atlas-2019-2024/outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/calibration_extension_chain_04_config.yaml,3023,28000,extend,"{'acceptance_rates': 'outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/chains/chain_04/acceptance_rates.csv', 'draws_latent': 'outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/chains/chain_04/draws_latent.npz', 'draws_params': 'outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/chains/chain_04/draws_params.parquet', 'latent_validation': 'outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/chains/chain_04/latent_validation.csv', 'runtime_log': 'outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/chains/chain_04/runtime_log.csv'}",outputs/scientific_reports_v2/calibration_pilot/replicate_001_extended/chains/chain_04/checkpoints/checkpoint_iter_000008000.npz,2600,142004,completed,False,28000,2026-08-11T01:33:32
