county_fips,year,complete_count,public_status,public_lower,public_upper,posterior_mean,posterior_lower_95,posterior_upper_95,absolute_error,squared_error,covered_95
13265,2020,1,suppressed_1_9,1,9,1.0609722222222222,1.0,2.0,0.060972222222222205,0.0037176118827160474,True
13265,2021,1,suppressed_1_9,1,9,1.1354166666666667,1.0,2.0,0.13541666666666674,0.018337673611111133,True
13265,2022,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
13265,2023,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
13265,2024,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
13275,2019,1,suppressed_1_9,1,9,3.9770833333333333,1.0,8.0,2.9770833333333333,8.863025173611112,True
13275,2020,2,suppressed_1_9,1,9,2.1195833333333334,1.0,4.0,0.11958333333333337,0.014300173611111121,True
13275,2021,7,suppressed_1_9,1,9,4.4575,1.0,8.0,2.5425000000000004,6.464306250000003,True
13275,2022,3,suppressed_1_9,1,9,2.754166666666667,1.0,5.0,0.24583333333333313,0.06043402777777768,True
13275,2023,4,suppressed_1_9,1,9,3.0543055555555556,1.0,6.0,0.9456944444444444,0.8943379822530864,True
13275,2024,2,suppressed_1_9,1,9,2.6373611111111113,1.0,5.0,0.6373611111111113,0.4062291859567903,True
13293,2019,5,suppressed_1_9,1,9,2.704861111111111,1.0,5.0,2.295138888888889,5.267662519290123,True
13293,2020,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
13293,2021,1,suppressed_1_9,1,9,2.828611111111111,1.0,6.0,1.828611111111111,3.3438185956790116,True
13293,2022,3,suppressed_1_9,1,9,2.0506944444444444,1.0,4.0,0.9493055555555556,0.9011810378086421,True
13293,2023,1,suppressed_1_9,1,9,2.3272222222222223,1.0,5.0,1.3272222222222223,1.761518827160494,True
13293,2024,2,suppressed_1_9,1,9,2.088611111111111,1.0,5.0,0.0886111111111112,0.007851929012345694,True
20007,2019,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
20007,2020,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
20007,2021,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
20007,2022,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
20007,2023,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
20007,2024,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
20017,2019,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
20017,2020,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
20017,2021,1,suppressed_1_9,1,9,1.0226388888888889,1.0,1.0,0.022638888888888875,0.0005125192901234562,True
20017,2022,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
20017,2023,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
20017,2024,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
20027,2019,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
20027,2020,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
20027,2021,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
20027,2022,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
20027,2023,2,suppressed_1_9,1,9,1.0702777777777779,1.0,2.0,0.9297222222222221,0.8643834104938269,True
20027,2024,1,suppressed_1_9,1,9,1.0543055555555556,1.0,2.0,0.05430555555555561,0.0029490933641975366,True
20071,2019,1,suppressed_1_9,1,9,1.0054166666666666,1.0,1.0,0.005416666666666625,2.934027777777733e-05,True
20071,2020,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
20071,2021,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
20071,2022,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
20071,2023,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
20071,2024,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
20079,2019,2,suppressed_1_9,1,9,1.4266666666666667,1.0,2.0,0.5733333333333333,0.328711111111111,True
20079,2020,1,suppressed_1_9,1,9,1.0,1.0,1.0,0.0,0.0,True
20079,2021,1,suppressed_1_9,1,9,2.3693055555555556,1.0,4.0,1.3693055555555556,1.8749977044753086,True
20079,2022,2,suppressed_1_9,1,9,1.4191666666666667,1.0,2.0,0.5808333333333333,0.3373673611111111,True
20079,2023,2,suppressed_1_9,1,9,2.053888888888889,1.0,4.0,0.053888888888888875,0.0029040123456790107,True
20079,2024,2,suppressed_1_9,1,9,1.7309722222222221,1.0,3.0,0.26902777777777787,0.07237594521604943,True
20091,2019,7,suppressed_1_9,1,9,7.0,7.0,7.0,0.0,0.0,True
20091,2020,26,exact,26,26,26.0,26.0,26.0,0.0,0.0,True
20091,2021,25,exact,25,25,25.0,25.0,25.0,0.0,0.0,True
20091,2022,27,exact,27,27,27.0,27.0,27.0,0.0,0.0,True
20091,2023,25,exact,25,25,25.0,25.0,25.0,0.0,0.0,True
20091,2024,26,exact,26,26,26.0,26.0,26.0,0.0,0.0,True
20103,2019,1,suppressed_1_9,1,9,1.5679166666666666,1.0,2.0,0.5679166666666666,0.32252934027777774,True
20103,2020,1,suppressed_1_9,1,9,1.0,1.0,1.0,0.0,0.0,True
20103,2021,5,suppressed_1_9,1,9,3.2294444444444443,1.0,5.0,1.7705555555555557,3.1348669753086424,True
20103,2022,1,suppressed_1_9,1,9,1.5808333333333333,1.0,2.0,0.5808333333333333,0.3373673611111111,True
20103,2023,2,suppressed_1_9,1,9,2.591388888888889,1.0,4.0,0.591388888888889,0.3497408179012347,True
20103,2024,2,suppressed_1_9,1,9,2.0304166666666665,1.0,3.0,0.030416666666666536,0.0009251736111111032,True
20117,2019,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
20117,2020,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
20117,2021,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
20117,2022,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
20117,2023,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
20117,2024,1,suppressed_1_9,1,9,1.0556944444444445,1.0,2.0,0.05569444444444449,0.003101871141975314,True
20139,2019,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,True
