parameter,truth_irr,posterior_median_irr,posterior_lower_95,posterior_upper_95,relative_bias_percent,truth_covered_by_95_interval,r_hat,ess_bulk,ess_tail
primary_rurality_metro_other,1.12,1.281749469949579,1.001746517837949,1.6374076196531007,14.441916959783828,True,1.0196051562251078,239.15500156831231,665.0366291999125
primary_rurality_nonmetro_adjacent,1.27,1.3550595746687457,0.9998589730511248,1.8611272572219877,6.697604304625648,True,1.021967606648702,152.5878092124334,290.81405753033016
primary_rurality_nonmetro_nonadjacent,1.23,1.2265525221515345,0.8804882188840447,1.6953942505172293,-0.28028275190775664,True,1.0100020591254744,187.91881471267632,421.4227985344464
svi_quartile_Q2,1.1,1.182699871687464,0.9263023555200521,1.4949411007966045,7.518170153405812,True,1.0079922808502824,413.16204249588606,787.4579089060406
svi_quartile_Q3,1.25,1.3304308351596865,1.0763239257956951,1.6247857473162044,6.4344668127749305,True,1.0044805044983185,408.63489990018945,778.0314990679134
svi_quartile_Q4_highest,1.43,1.5622130438375983,1.2061585650455138,1.9875822396060994,9.245667401230651,True,1.0080395094348853,241.0976917672127,355.63281021696594
