type,block,min,median,max
count_move,blocked_refresh,0.1151041666666666,0.1174479166666666,0.119921875
count_move,cycle_swap,0.0040858140061227,0.0041800556499819504,0.0045136538027533
count_move,interval_path,0.2213960050812354,0.22211706112539825,0.2249290343440491
count_move,interval_transfer,0.3091685246744223,0.31180931233274956,0.3127741025634917
count_move,swap_2x2,0.0187082520189759,0.01912146667891495,0.0192694446484904
count_move,transfer,0.1140660254126588,0.1143591582349892,0.116224160649658
parameter,beta,0.38975,0.39397916666666666,0.4020416666666667
parameter,log_kappa,0.46075,0.4610208333333333,0.462875
parameter,log_sigma_state,0.4325416666666666,0.4356458333333333,0.440125
parameter,log_sigma_year,0.437,0.43997916666666664,0.446375
parameter,state,0.6285,0.6389791666666667,0.6485
parameter,year,0.3408333333333333,0.3727708333333333,0.403875
