type,block,min,median,max
count_move,blocked_refresh,0.0479166666666666,0.04928385416666665,0.0548177083333333
count_move,cycle_swap,0.0124732761232562,0.0127128601755665,0.0128247863247863
count_move,interval_path,0.2505722439963308,0.2516484645158361,0.2526241163689778
count_move,interval_transfer,0.2828193354171545,0.28304282094717276,0.2845796203022084
count_move,swap_2x2,0.065484376816608,0.06565704343419196,0.0660825216929343
count_move,transfer,0.0468728692213282,0.04729085280831895,0.0475912520717319
parameter,beta,0.3444166666666666,0.346,0.3688333333333333
parameter,log_kappa,0.31775,0.3423333333333334,0.345375
parameter,log_sigma_state,0.422625,0.43299999999999994,0.4337083333333333
parameter,log_sigma_year,0.3974583333333333,0.43097916666666664,0.440875
parameter,state,0.6495833333333333,0.6544583333333334,0.6695833333333333
parameter,year,0.0,0.5571875,0.5579583333333333
