replicate,truth_scenario,scenario,model_type,term,coefficient,irr,ci_low,ci_high,standard_error,n_rows,events,truth_irr,bias_irr,squared_error_irr,truth_covered_by_95_interval
1,baseline_rate_3_4_kappa_10,oracle_complete_counts,NB2_GLM_known_dispersion_HC0,primary_rurality_metro_other,0.05895722457145147,1.0607298665950988,0.8094023090600246,1.3900971584742738,0.1379675603629161,432,2892.0,1.12,-0.05927013340490128,0.0035129487138347948,True
1,baseline_rate_3_4_kappa_10,oracle_complete_counts,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_adjacent,0.352749887596591,1.4229751951758636,0.9444520893155105,2.143950369735852,0.2091327586224165,432,2892.0,1.27,0.15297519517586355,0.02340141033909355,True
1,baseline_rate_3_4_kappa_10,oracle_complete_counts,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_nonadjacent,0.19011667027516144,1.2093906893709934,0.7734860895230324,1.8909529975376416,0.2280429914366332,432,2892.0,1.23,-0.020609310629006616,0.0004247436846028851,True
1,baseline_rate_3_4_kappa_10,oracle_complete_counts,NB2_GLM_known_dispersion_HC0,svi_quartile_Q2,-0.20412202520327882,0.815362870296614,0.6314875800457334,1.0527785997155887,0.13038519365700516,432,2892.0,1.1,-0.28463712970338606,0.08101829560578222,False
1,baseline_rate_3_4_kappa_10,oracle_complete_counts,NB2_GLM_known_dispersion_HC0,svi_quartile_Q3,-0.07900146658920966,0.9240385692590981,0.7178769446706188,1.1894061841896442,0.1288039001457272,432,2892.0,1.25,-0.3259614307409019,0.10625085433065579,False
1,baseline_rate_3_4_kappa_10,oracle_complete_counts,NB2_GLM_known_dispersion_HC0,svi_quartile_Q4_highest,0.1615749070458985,1.1753604976436896,0.8588687536098345,1.6084789365253755,0.16005819666398116,432,2892.0,1.43,-0.2546395023563104,0.0648412761602694,True
1,baseline_rate_3_4_kappa_10,visible_exact_and_zero_only,NB2_GLM_known_dispersion_HC0,primary_rurality_metro_other,-1.415815412553653,0.24272760959231862,0.09608471162746238,0.613174473446219,0.47281104656727774,207,2350.0,1.12,-0.8772723904076815,0.7696068469716075,False
1,baseline_rate_3_4_kappa_10,visible_exact_and_zero_only,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_adjacent,-1.8497383106669383,0.15727831898718575,0.03839704492961876,0.6442284730186022,0.7194063605308915,207,2350.0,1.27,-1.1127216810128142,1.2381495393959832,False
1,baseline_rate_3_4_kappa_10,visible_exact_and_zero_only,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_nonadjacent,-23.9606377285024,3.9266957432571037e-11,9.62749126956616e-12,1.601553200973017e-10,0.7172248507868139,207,2350.0,1.23,-1.229999999960733,1.512899999903403,False
1,baseline_rate_3_4_kappa_10,visible_exact_and_zero_only,NB2_GLM_known_dispersion_HC0,svi_quartile_Q2,-0.3612767972949644,0.696786103263117,0.29480372731058463,1.6468953026129782,0.43886157037189055,207,2350.0,1.1,-0.4032138967368831,0.16258144652174186,True
