replicate,truth_scenario,scenario,model_type,term,coefficient,irr,ci_low,ci_high,standard_error,n_rows,events,truth_irr,bias_irr,squared_error_irr,truth_covered_by_95_interval
13,baseline_rate_3_4_kappa_10,oracle_complete_counts,NB2_GLM_known_dispersion_HC0,primary_rurality_metro_other,0.16083396431563424,1.174489945382033,0.9293306712559493,1.4843227222224966,0.11945133907743663,432,2822.0,1.12,0.05448994538203289,0.0029691541477369276,True
13,baseline_rate_3_4_kappa_10,oracle_complete_counts,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_adjacent,0.11932649577408866,1.1267377333484987,0.7871887624668862,1.6127490384553307,0.1829661757355165,432,2822.0,1.27,-0.14326226665150132,0.02052407704612587,True
13,baseline_rate_3_4_kappa_10,oracle_complete_counts,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_nonadjacent,0.14685738389764214,1.158188774882022,0.8523046911693237,1.57385176001129,0.15646356185585059,432,2822.0,1.23,-0.07181122511797788,0.0051568520529448976,True
13,baseline_rate_3_4_kappa_10,oracle_complete_counts,NB2_GLM_known_dispersion_HC0,svi_quartile_Q2,0.027812525513411845,1.0282029045396979,0.8041773950590028,1.3146368194374625,0.12538159134361948,432,2822.0,1.1,-0.07179709546030222,0.005154822916535749,True
13,baseline_rate_3_4_kappa_10,oracle_complete_counts,NB2_GLM_known_dispersion_HC0,svi_quartile_Q3,0.12426851946529481,1.1323198801099164,0.8900574412916337,1.4405231071732933,0.12282540664632458,432,2822.0,1.25,-0.11768011989008365,0.013848610617344461,True
13,baseline_rate_3_4_kappa_10,oracle_complete_counts,NB2_GLM_known_dispersion_HC0,svi_quartile_Q4_highest,0.3118693697148355,1.3659762435080602,1.022289743419994,1.8252076868013878,0.14786959787338777,432,2822.0,1.43,-0.0640237564919397,0.0040990413953391905,True
13,baseline_rate_3_4_kappa_10,visible_exact_and_zero_only,NB2_GLM_known_dispersion_HC0,primary_rurality_metro_other,-4.448726344305513,0.011693450920222406,0.0010215038427868195,0.13385832602509973,1.2437515497460803,210,2299.0,1.12,-1.1083065490797777,1.2283434067331256,False
13,baseline_rate_3_4_kappa_10,visible_exact_and_zero_only,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_adjacent,-31.121428471288503,3.0488450007744455e-14,1.3660561071025875e-16,6.804593010797344e-12,2.7591863174987417,210,2299.0,1.27,-1.2699999999999696,1.6128999999999227,False
13,baseline_rate_3_4_kappa_10,visible_exact_and_zero_only,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_nonadjacent,-44.81450937985828,3.445925367053832e-20,4.148502037165475e-29,2.8623347726300092e-11,10.478423981013384,210,2299.0,1.23,-1.23,1.5129,False
13,baseline_rate_3_4_kappa_10,visible_exact_and_zero_only,NB2_GLM_known_dispersion_HC0,svi_quartile_Q2,-0.04428820788268384,0.9566781955394278,0.15466204269086303,5.917632755245155,0.9297064818283142,210,2299.0,1.1,-0.1433218044605723,0.020541139633834523,True
