group,status,cells,fraction
overall,suppressed_1_9,241,0.5578703703703703
overall,zero,142,0.3287037037037037
overall,exact,49,0.11342592592592593
nonmetro_nonadjacent,suppressed_1_9,82,0.5694444444444444
nonmetro_nonadjacent,zero,62,0.4305555555555556
metro_large,suppressed_1_9,52,0.48148148148148145
metro_large,exact,45,0.4166666666666667
metro_large,zero,11,0.10185185185185185
nonmetro_adjacent,suppressed_1_9,64,0.5333333333333333
nonmetro_adjacent,zero,56,0.4666666666666667
metro_other,suppressed_1_9,43,0.7166666666666667
metro_other,zero,13,0.21666666666666667
metro_other,exact,4,0.06666666666666667
