year,deaths,population,rate_per_100k
2019,7583,328239523,2.31020321096433
2020,9147,329484123,2.7761580487445827
2021,9733,331893745,2.932565059338494
2022,10575,333287557,3.1729357360917017
2023,10546,334914895,3.148859652838074
2024,10796,340110988,3.1742579278267833
